#,Competitor,Country,TOT. PTS,Apollon's Wheels,Pts,Max Deadlift,Pts,Medicine Ball Toss,Pts,Hammer Lift,Pts,Timber Carry,Pts
1,Ž. Savickas,LTU,43,0-6-5,10,415 kg,9,5.18 m,10,20.19 s,4,8.62 s,10
2,S. Karlsen,NOR,39.5,1-3-4,9,385 kg,6.5,4.72 m,7,13.63 s,10,9.02 m,7
3,R. Bergmanis,LAT,33.5,3-0-2,6,385 kg,6.5,4.72 m,6,16.27 s,9,6.96 m,6
4,M. Philippi,USA,33,2-0-2,5,422 kg,10,4.57 m,4,19.26 s,6,9.47 m,8
5,M. Pudzianowski,POL,29.5,0-4-4,8,379 kg,4.5,4.88 m,8,17.74 s,7,3.71 m,2
6,V. Virastyuk,UKR,27,0-3-2,4,357 kg,3,5.03 m,9,16.96 s,8,5.21 m,3
7,B. Schoonveld,USA,21,0-3-3,7,349 kg,2,-,2,20.04 s,5,6.3 m,5
8,A. Johansson,SWE,20.5,0-2-0,3,379 kg,4.5,-,2,30.15 s,2,10.62 m,9
9,S. Kirit,USA,14.5,0-0-0,1.5,327 kg,1,4.57 m,5,27.50 s,3,5.38 m,4
10,I. Árvai,HUN,13.5,0-0-0,1.5,407 kg,8,-,2,-,1,2.74 m,1
