#,Competitor,Country,TOT. PTS,Max Deadlift,Pts,Car Walk,Pts,Dumbbell Press,Pts,Farmer's Walk,Pts,Max Log Lift,Pts,Atlas Stones,Pts
1,B. Shaw,USA,54.5,420 kg,9,17.61 s,10,8 reps,9.5,26.50 s,7,200 kg,9,4 in 19.00 s,10
2,K. Radzikowski,POL,49.5,400 kg,7.5,19.50 s,6,8 reps,9.5,23.06 s,10,190 kg,7.5,4 in 29.27 s,9
3,R. Oberst,USA,43,360 kg,3.5,19.03 s,7,4 reps,7.5,24.30 s,9,211 kg,10,3 stones,6
4,E. Hall,GBR,40,462 kg,10,26.06 s,4,4 reps,7.5,31.38 s,4,190 kg,7.5,3 stones,7
5,E. le Roux,AUS,32,400 kg,7.5,38.80 s,3,1 rep,6,26.60 s,6,140 kg,1.5,4 in 29.50 s,8
6,G. van Staden,RSA,28.5,360 kg,3.5,18.04 s,8,0 reps,0,24.50 s,8,150 kg,4,3 stones,5
7,R. Frampton,GBR,25.5,360 kg,3.5,17.97 s,9,0 reps,0,62.72 s,3,160 kg,6,3 stones,4
8,D. Macri,AUS,16.5,360 kg,3.5,21.62 s,5,0 reps,0,48.25 m,2,150 kg,4,3 stones,2
9,B. Simpson,AUS,15,360 kg,3.5,68.50 s,2,0 reps,0,27.72 s,5,140 kg,1.5,3 stones,3
10,T. O'Brien,RSA,10.5,360 kg,3.5,19.2 m,1,0 reps,0,37.5 m,1,150 kg,4,2 stones,1
