#,Competitor,Country,TOT. PTS,Log Lift,Pts,Frame Carry,Pts,Super Yoke,Pts,Deadlift,Pts,Arm Over Arm Pull,Pts
1,M. Belšak,SLO,53,4 reps,11.5,13.04 s,10,16.50 s,10,5 reps,9.5,20.15 s,12
2,K. Radzikowski,POL,49,4 reps,11.5,11.78 s,12,18.30 s,8,3 reps,6.5,21.60 s,11
3,J. Pritchett,USA,48,3 reps,9,13.56 s,9,12.80 s,12,7 reps,12,24.12 s,6
4,D. Savatinov,BUL,41,3 reps,9,14.31 s,8,17.29 s,9,4 reps,8,23.20 s,7
5,K. Janashia,GEO,40,3 reps,9,13.03 s,11,20.66 s,7,6 reps,11,10 m,2
6,D. Zageris,LAT,33.5,2 reps,7,21.86 s,4,25.07 s,4,5 reps,9.5,23.00 s,9
7,J. Fisher,USA,32.5,0 reps,0,15.69 s,7,16.19 s,11,3 reps,6.5,23.09 s,8
8,J. Kramer,NED,25,0 reps,0,18.09 s,5,24.44 s,5,2 reps,5,21.81 s,10
9,S. Fossdal,ISL,25,1 rep,6,16.65 s,6,22.07 s,6,1 rep,4,26.37 s,3
10,C. Alitz,USA,11,0 reps,0,47.15 s,3,36.31 s,3,0 reps,0,24.97 s,5
11,J. Vytiska,CZE,8,0 reps,0,19.5 m,2,20.4 m,2,0 reps,0,25.59 s,4
12,S. Todorchev,BUL,0,0 reps,0,Withdrew,0,Withdrew,0,Withdrew,0,Withdrew,0
