#,Competitor,Country,TOT. PTS,Super Yoke,Pts,Max Log Lift,Pts,Power Stairs,Pts,Viking Press,Pts,Max Deadlift,Pts,Atlas Stones,Pts
1,R. Kearney,USA,57,13.22 s,12,200 kg,12,47.00 s,5,13 reps,12,470 kg,7,4 in 74.00 s,9
2,M. Belšak,SLO,55,20.84 s,8,192.5 kg,10,40.40 s,9,11 reps,10.5,500 kg,9.5,3 in 19.90 s,8
3,R. Heinla,EST,52,34.09 s,4,192.5 kg,10,38.50 s,10,8 reps,6.5,500 kg,9.5,4 in 28.50 s,12
4,M. Shivlyakov,RUS,50.5,21.75 s,7,192.5 kg,10,33.50 s,11,9 reps,9,500 kg,9.5,3 in 86.00 s,4
5,E. Williams,AUS,46.5,19.28 s,10,160 kg,2.5,32.21 s,12,8 reps,6.5,440 kg,4.5,4 in 30.17 s,11
6,J. Pritchett,USA,42.5,17.85 s,11,185 kg,7,49.00 s,4,6 reps,2.5,520 kg,12,3 in 33.60 s,6
7,J. Paquet,CAN,37,10 m,3,185 kg,7,44.00 s,6,8 reps,6.5,500 kg,9.5,3 in 39.15 s,5
8,D. Lockard,USA,34.5,27.00 s,5,175 kg,4.5,43.00 s,7,8 reps,6.5,440 kg,4.5,3 in 33.21 s,7
9,J. Kramer,NED,31.5,20.34 s,9,No lift,0,40.50 s,8,0 reps,0,440 kg,4.5,4 in 32.30 s,10
10,R. Keene,AUS,28.5,22.63 s,6,185 kg,7,7 stairs,3,11 reps,10.5,No lift,0,2 in 16.50 s,2
11,J. Coraboeuf,AUS,17.5,0.3 m,1,175 kg,4.5,7 stairs,2,6 reps,2.5,400 kg,4.5,2 in 16.00 s,3
12,M. Selves,AUS,11.5,3.6 m,2,160 kg,2.5,6 stairs,1,7 reps,4,400 kg,2,0 in 90.00 s,0
