#,Competitor,Country,TOT. PTS,Apollon's Wheels,Pts,Manhood Stones,Pts,Dumbbell Press,Pts,Max Deadlift,Pts,Timber Carry,Pts
1,D. Poundstone,USA,45,0 reps (208 kg) + 2 cleans,8,"3 reps, 242 kg",9,11 reps,10,462 kg,8,9.28 s,10
2,Ž. Savickas,LTU,41,2 reps (208 kg) + 0 cleans,10,"2 reps, 205 kg",3.5,9 reps,8.5,467 kg,10,10.16 s,9
3,T. Ortmayer,USA,37.5,0 reps (198 kg) + 1 clean,7,"3 reps, 242 kg",8,9 reps,8.5,447 kg,7,14.87 s,7
4,M. Koklyaev,RUS,37,1 rep (208 kg) + 1 clean,9,"1 rep, 242 kg",7,8 reps,7,444 kg,6,11.85 s,8
5,B. Shaw,USA,33,0 reps (188 kg) + 1 clean,4,"3 reps, 242 kg",10,6 reps,6,464 kg,9,11.18 m,4
6,D. Ostlund,USA,21.5,0 reps (188 kg) + 1 clean,4,"4 reps, 205 kg",5.5,4 reps,4,422 kg,2,19.51 s,6
7,P. Pfister,USA,19.5,0 reps (188 kg) + 2 cleans,6,"4 reps, 205 kg",5.5,2 reps,2,394 kg,1,20.43 s,5
8,K. Ilin,UKR,16,0 reps (188 kg) + 1 clean,4,"1 rep, 205 kg",2,3 reps,3,429 kg,4,5.03 m,3
9,N. Best,USA,11.5,0 reps (168 kg) + 2 cleans,1,"2 reps, 205 kg",3.5,0 reps,0,432 kg,5,2.64 m,2
10,B. Siders,USA,7,1 rep (178 kg) + 1 clean,2,"0 reps, 205 kg",1,0 reps,0,424 kg,3,0.91 m,1
