#,Competitor,Country,TOT. PTS,Apollon's Wheels,Pts,Dumbbell Press,Pts,Austrian Oak,Pts,Max Deadlift,Pts,Timber Carry,Pts
1,M. Jenkins,USA,40,"2 reps, 208 kg",7,7 reps,10,"2 reps, 200 kg",10,421 kg,3,7.42 s,10
2,D. Poundstone,USA,39,"2 reps, 208 kg",7,4 reps,8,"6 reps, 170 kg",7,481 kg,8,7.56 s,9
3,Å½. Savickas,LTU,36.5,"4 reps, 208 kg",10,1 rep,3.5,"1 rep, 200 kg",9,506 kg,10,8.69 m,4
4,B. Shaw,USA,36,"1 rep, 208 kg",4,5 reps,9,"7 reps, 170 kg",8,486 kg,9,14.06 s,6
5,M. Burke,USA,27.5,"3 reps, 208 kg",9,3 reps,6.5,"3 reps, 170 kg",5,411 kg,2,16.25 s,5
6,M. Koklyaev,RUS,26,"2 reps, 208 kg",7,3 reps,6.5,"5 reps, 170 kg",6,451 kg,5.5,5.26 m,1
7,L. Shahlaei,GBR,22.5,"1 rep, 208 kg",4,0 reps,1.5,"2 reps, 170 kg",3.5,451 kg,5.5,7.91 s,8
8,T. Hollands,GBR,19,"1 rep, 208 kg",4,1 rep,3.5,"0 reps, 170 kg",1.5,456 kg,7,7.65 m,3
9,T. Ortmayer,USA,15,"3 reps, 178 kg",1,0 reps,1.5,"0 reps, 170 kg",1.5,431 kg,4,9.38 s,7
10,H. BjÃ¶rnsson,ISL,13.5,"4 reps, 178 kg",2,2 reps,5,"2 reps, 170 kg",3.5,406 kg,1,6.96 m,2
