#,Competitor,Country,TOT. PTS,Austrian Oak,Pts,Bale Tote,Pts,Timber Carry,Pts,Max Deadlift,Pts,Cyr Dumbbell,Pts
1,Å½. Savickas,LTU,44.5,"4 reps, 200 kg",10,3.87 s (640 kg),10,8.43 m,6,524 kg,10,4 reps,8.5
2,B. Shaw,USA,42.5,"2 reps, 200 kg",8,5.79 s (640 kg),9,18.72 s,8,512 kg,9,4 reps,8.5
3,M. Burke,USA,35,"1 rep, 200 kg",5.5,7.50 s (640 kg),8,10.74 s,9,416 kg,4,4 reps,8.5
4,V. Lalas,LTU,32,"2 reps, 200 kg",8,11.57 s (640 kg),6,6.4 m,5,482 kg,7.5,3 reps,5.5
5,H. BjÃ¶rnsson,ISL,26.5,"3 reps, 170 kg",1,10.53 s (640 kg),7,5.77 m,4,451 kg,6,4 reps,8.5
6,J. Pritchett,USA,25.5,"4 reps, 170 kg",3,0.2 m (557 kg),2,8.85 s,10,482 kg,7.5,0 reps,3
7,M. Shivlyakov,RUS,23,"4 reps, 170 kg",3,20.95 s (640 kg),5,8.86 m,7,441 kg,5,0 reps,3
8,R. Oberst,USA,20,"2 reps, 200 kg",8,2.41 m (640 kg),4,3.58 m,3,381 kg,2,0 reps,3
9,D. Savatinov,BUL,16.5,"4 reps, 170 kg",3,2.26 m (557 kg),3,3.2 m,2,411 kg,3,3 reps,5.5
10,K. Radzikowski,POL,5.5,"1 rep, 200 kg",5.5,Withdrew,0,Withdrew,0,Withdrew,0,Withdrew,0
