#,Competitor,Country,TOT. PTS,Bag Over Bar,Pts,Stone to Shoulder,Pts,Timber Carry,Pts,Max Deadlift,Pts,Apollon's Wheels,Pts
1,H. BjÃ¶rnsson,ISL,46,43 kg,10,1 rep (6 points),8,11.80 s,8,472 kg,10,4 reps + 0 cleans,10
2,B. Shaw,USA,41.5,41 kg,9,0 reps (4 points),6.5,10.03 s,9,460 kg,8,3 reps + 1 clean,9
3,M. Shivlyakov,RUS,29,36 kg,8,1 rep (9 points),9,7.44 m,6,426 kg,6,(No lift),0
4,M. Kieliszkowski,POL,29,32 kg,5.5,4 reps (20 points),10,10.11 m,7,370 kg,2,0 reps + 2 cleans,4.5
5,J. Caron,CAN,28,34 kg,7,0 reps (3 points),4.5,5.74 m,5,463 kg,9,0 reps + 1 clean,2.5
6,M. BelÅ¡ak,SLO,24,32 kg,5.5,0 reps (4 points),6.5,4.14 m,2,401 kg,3,1 rep + 1 clean,7
6,J. Pritchett,USA,24,27 kg,3,0 reps (1 point),1.5,9.58 s,10,444 kg,7,0 reps + 1 clean,2.5
8,R. Heinla,EST,22.5,29 kg,4,0 reps (3 points),4.5,0.36 m,1,424 kg,5,2 reps + 1 clean,8
9,D. Savatinov,BUL,18.5,25 kg,1.5,0 reps (2 points),3,4.72 m,4,422 kg,4,1 rep + 0 cleans,6
10,M. Ostaszewski,POL,10.5,25 kg,1.5,0 reps (1 point),1.5,4.42 m,3,(No lift),0,0 reps + 2 cleans,4.5
