#,Competitor,Country,TOT. PTS,Trial by Stone,Pts,Bag Over Bar,Pts,Wheel of Pain,Pts,Max Deadlift,Pts,Timber Carry,Pts,Cyr Dumbbell,Pts
1,H. BjÃ¶rnsson,ISL,52.5,10 in 55.47 s,9,41 kg,10,30.89 m,8,465 kg,10,9.76 m,7,136 kg,8.5
2,M. Kieliszkowski,POL,50.5,10 in 53.72 s,10,34 kg,7.5,34.14 m,10,402 kg,3,7.00 s,10,145 kg,10
3,M. Licis,USA,36.5,7 points,4.5,32 kg,6,31.01 m,9,411 kg,4.5,17.37 s,8,124 kg,4.5
4,J. Caron,CAN,33,10 in 139.75 s,7,34 kg,7.5,19.28 m,2,434 kg,9,8.08 m,6,No lift,1.5
5,O. Novikov,UKR,31,8 points,6,25 kg,3.5,27.69 m,7,372 kg,2,4.22 m,4,136 kg,8.5
6,R. Kearney,USA,29,10 in 132.00 s,8,25 kg,3.5,23.98 m,6,418 kg,6,-,1,124 kg,4.5
6,M. Shivlyakov,RUS,29,1 point,1.5,39 kg,9,14.58 m,1,427 kg,8,5.87 m,5,124 kg,4.5
8,J. Pritchett,USA,27,7 points,4.5,25 kg,3.5,22.02 m,4,411 kg,4.5,10.31 s,9,No lift,1.5
9,B. Thompson,USA,24,2 points,3,25 kg,3.5,21.39 m,3,420 kg,7,3.18 m,3,124 kg,4.5
10,M. BelÅ¡ak,SLO,17.5,1 point,1.5,-,1,23.5 m,5,No lift,1,2.59 m,2,127 kg,7
