#,Competitor,Country,TOT. PTS,Max Deadlift,Pts,Farmer's Walk,Pts,Super Yoke,Pts,Truck Pull,Pts,Dumbbell Press,Pts
1,H. Björnsson,ISL,45,420 kg,9,,10,,10,,11,6 reps,5
2,M. Kieliszkowski,POL,40.5,,3.5,,11,,11,,10,6 reps,5
3,D. Savatinov,BUL,37,420 kg,9,,8,,9,,6,6 reps,5
4,M. Wildauer,AUT,35.5,420 kg,9,,9,,7,,9,,1.5
5,R. Heinla,EST,31,420 kg,9,,3,,8,,8,4 reps,3
6,Á. Nagy,HUN,23,,3.5,,5,,6,,7,,1.5
7,M. Shivlyakov,RUS,21,400 kg,6,,7,,5,,3,Eliminated,0
8,E. le Roux,AUS,20,420 kg,9,,6,,4,,1,Eliminated,0
9,M. Ferrari,BRA,13,,3.5,,1.5,,3,,5,Eliminated,0
10,M. van der Haer,RSA,10,,1,,4,,1,,4,Eliminated,0
11,J. Lane,USA,9,,3.5,,1.5,,2,,2,Eliminated,0
