#,Competitor,Country,TOT. PTS,Farmer's Walk,Pts,Log Lift,Pts,Bag Over Bar,Pts,Deadlift,Pts,Atlas Stones,Pts
1,M. Shivlyakov,RUS,38.5,,9,3 reps,7.5,3 implements,10,6 reps,11,1 stone,1
2,M. Kieliszkowski,POL,38,,11,4 reps,10,3 implements,11,0 reps,0,6 stones,6
3,R. Heinla,EST,36.5,,3,4 reps,10,2 implements,9,5 reps,9.5,6 stones,5
4,J. Pritchett,USA,32.5,,10,1 rep,4,2 implements,6,5 reps,9.5,6 stones,3
5,D. Savatinov,BUL,26.5,,4,4 reps,10,1 implement,3,3 reps,7.5,2 stones,2
6,J. Kramer,NED,25.5,,7,0 reps,0,2 implements,7,3 reps,7.5,6 stones,4
7,B. Benzel,USA,20.5,,8,3 reps,7.5,2 implements,5,0 reps,0,Eliminated,0
8,B. Clark,USA,13,,1,1 rep,4,2 implements,8,0 reps,0,Eliminated,0
9,B. Page,USA,13,,5,1 rep,4,2 implements,4,0 reps,0,Eliminated,0
10,T. Aparecido,BRA,9,,2,2 reps,6,1 implement,1,0 reps,0,Eliminated,0
11,M. Ostaszewski,POL,8,,6,0 reps,0,1 implement,2,0 reps,0,Eliminated,0
