#,Competitor,Country,TOT. PTS,Log Lift,Pts,Super Yoke,Pts,Farmer's Walk,Pts,Deadlift,Pts,Arm Over Arm Pull,Pts
1,M. Kieliszkowski,POL,80.5,5 reps,18,14.14 s,16,8.43 s,18,4 reps,10.5,12.89 s,18
2,O. Novikov,UKR,78,3 reps,13.5,11.69 s,18,8.47 s,17,5 reps,12.5,15.49 s,17
3,J. Caron,CAN,71,2 reps,10,15.66 s,13,9.81 s,16,7 reps,18,20.21 s,14
4,M. Shivlyakov,RUS,64,4 reps,16.5,20.15 s,10,10.84 s,13,5 reps,12.5,23.28 s,12
5,J. Pritchett,USA,57,1 rep,7.5,14.25 s,15,9.94 s,14,6 reps,15.5,51.28 s,5
6,J. Paquet,CAN,55.5,2 reps,10,24.37 s,8,11.67 s,11,6 reps,15.5,24.94 s,11
7,B. Shaw,USA,51,3 reps,13.5,18.34 s,11,13.60 s,7,1 rep,4.5,19.31 s,15
8,A. Šmaukstelis,LAT,49,1 rep,7.5,14.37 s,14,9.88 s,15,2 reps,6.5,50.65 s,6
9,M. Belšak,SLO,47.5,2 reps,10,12.60 s,17,11.40 s,12,1 rep,4.5,8.8 m,4
10,R. Heinla,EST,46,3 reps,13.5,24.75 s,7,1.6 m,2,6 reps,15.5,39.50 s,8
11,M. Boudreault,CAN,43.5,4 reps,16.5,10.04 m,4,12.62 s,10,0 reps,0,21.53 s,13
12,A. Page,GBR,41,3 reps,13.5,21.71 s,9,21.68 s,3,3 reps,8.5,44.29 s,7
13,J. Kramer,NED,38.5,0 reps,0,18.10 s,12,12.81 s,9,3 reps,8.5,28.60 s,9
14,N. Ambešković,SWE,35.5,0 reps,0,31.29 s,6,18.80 s,4,6 reps,15.5,28.24 s,10
15,K. Gerhardt Holmqvist,SWE,32.5,0 reps,0,4.9 m,2,12.93 s,8,2 reps,6.5,18.31 s,16
16,B. Neitzel,USA,20.5,0 reps,0,5.4 m,3,18.63 s,5,4 reps,10.5,4.4 m,2
17,L. Reynolds,AUS,14,0 reps,0,13.3 m,5,16.72 s,6,0 reps,0,7.9 m,3
18,A. Fuhrman,USA,0,0 reps,0,Withdrew,0,Withdrew,0,Withdrew,0,Withdrew,0
