#,Competitor,Country,TOT. PTS,Log Lift,Pts,Farmer's Walk,Pts,Bag Over Bar,Pts,Deadlift,Pts,Loading Race,Pts
1,M. Licis,USA,52,3 reps,8.5,13.85 s,12,2 in 12.10 s,7,8 reps,11.5,3 in 32.84 s,13
2,B. Shaw,USA,51,3 reps,8.5,25.41 s,8,4 in 45.44 s,12,8 reps,11.5,3 in 41.20 s,11
3,M. Boudreault,CAN,50.5,5 reps,13,12.87 s,13,4 in 14.98 s,13,2 reps,4.5,2 in 18.00 s,7
4,R. Heinla,EST,48.5,4 reps,11.5,2.16 m,2,3 in 37.50 s,10,9 reps,13,3 in 34.42 s,12
5,J. Caron,CAN,45.5,1 rep,4,14.62 s,11,3 in 23.53 s,11,7 reps,9.5,3 in 52.44 s,10
6,J. Pritchett,USA,41,3 reps,8.5,17.07 s,10,2 in 18.46 s,5,7 reps,9.5,2 in 17.49 s,8
7,J. Kramer,NED,31.5,0 reps,0,20.72 s,9,3 in 57.07 s,9,6 reps,7.5,2 in 23.91 s,6
8,R. Kearney,USA,31,4 reps,11.5,5.21 m,4,1 in 9.21 s,3,6 reps,7.5,2 in 24.10 s,5
9,W. Claborn,USA,30.5,3 reps,8.5,1.78 m,1,2 in 17.30 s,6,4 reps,6,2 in 17.45 s,9
10,C. Garrison,USA,22,1 rep,4,2.57 m,3,2 in 8.92 s,8,1 rep,3,2 in 24.83 s,4
11,O. Novikov,UKR,20.5,2 reps,6,10.8 m,6,2 in 36.31 s,4,2 reps,4.5,Withdrew,0
12,E. Williams,AUS,12,0 reps,0,26.78 s,7,1 in 31.46 s,2,0 reps,0,2 in 33.24 s,3
13,M. Belšak,SLO,9,1 rep,4,5.82 m,5,0 in 60.00 s,0,Withdrew,0,Withdrew,0
