#,Competitor,Country,TOT. PTS,Truck Pull,Pts,Tire Flip,Pts,Hercules Hold,Pts,Atlas Stones,Pts,Rock Press,Pts,Power Stairs,Pts
1,R. Kiri,FIN,63,29.91 s,9,39.26 s,12,47.84 s,11,5 in 47.07 s,10,120 kg,9,18 in 44.69 s,12
2,M. Ver Magnússon,ISL,56.5,32.63 s,6,51.19 s,9,43.41 s,9,5 in 36.40 s,12,130 kg,11.5,16 stairs,9
3,B. Veneberg,NED,53.5,33.22 s,5,63.66 s,8,46.07 s,10,5 in 49.07 s,9,130 kg,11.5,18 in 102.93 s,10
4,W. Zijlstra,NED,49,31.69 s,7,49.79 s,10,39.90 s,8,5 in 37.05 s,11,No lift,2,18 stairs,11
5,M. Samuelsson,SWE,46,31.68 s,8,49.53 s,11,50.50 s,12,4 in 27.25 s,8,105 kg,4,12 stairs,3
6,F. Rasmussen,DEN,42,28.34 s,12,11.43 m,4,39.88 s,7,3 in 34.35 s,3,130 kg,10,13 stairs,6
7,P. Smeets,NED,41,29.34 s,11,77.02 s,6,29.72 s,5,4 in 28.05 s,6,115 kg,8,13 stairs,5
8,H. Ollesch,GER,34,29.63 s,10,11.17 m,3,24.97 s,3,4 in 27.56 s,7,105 kg,4,15 stairs,7
9,J. Reeves,GBR,30.5,33.57 s,4,76.37 s,7,37.36 s,6,4 in 44.09 s,5,110 kg,6.5,12 stairs,2
10,S. Karlsen,NOR,25.5,39.97 s,2,6.32 m,1,26.28 s,4,3 in 15.97 s,4,110 kg,6.5,15 stairs,8
11,S. MėÁius,LTU,15,42.78 s,1,11.12 m,2,16.69 s,2,1 in 7.26 s,2,105 kg,4,12 stairs,4
12,G. Taylor,GBR,8,34.34 s,3,12.44 m,5,(Withdrew),0,(Withdrew),0,(Withdrew),0,(Withdrew),0
