#,Competitor,Country,TOT. PTS,Arm Over Arm Pull,Pts,Atlas Stones,Pts,Rock Press,Pts,Hercules Hold,Pts,Weight Throw,Pts,Medley,Pts
1,B. Veneberg,NED,48.5,21.81 s,9,4 in 22.90 s,6.5,125 kg,10,65.50 s,8,5.4 m,10,59.48 s,5
2,M. Samuelsson,SWE,47,21.47 s,10,5 in 27.13 s,10,100 kg,5,56.39 s,4,5 m,8,38.66 s,10
3,J. Dymek,POL,43.5,23.53 s,6,3 in 19.95 s,3,120 kg,9,77.62 s,10,4.8 m,6.5,46.74 s,9
4,R. Bergmanis,LAT,37,23.59 s,5,4 in 26.96 s,5,110 kg,7.5,72.91 s,9,4.8 m,6.5,60.72 s,4
4,P. Paavisto,FIN,37,22.56 s,8,4 in 22.90 s,6.5,100 kg,3.5,41.66 s,2,5.4 m,9,48.62 s,8
6,S. Karlsen,NOR,33,23.03 s,7,4 in 21.65 s,8,110 kg,7.5,58.81 s,7,4 m,2,DNF,1.5
7,L. Fekete,HUN,27,27.78 s,2,4 in 20.89 s,9,110 kg,6,41.93 s,3,4.6 m,4,69.68 s,3
8,J. Barr,GBR,22.5,25.47 s,3,2 in 21.41 s,1,No lift,1.5,58.31 s,6,4.8 m,5,55.31 s,6
9,R. VÃ¡gadal,FRO,20.5,23.91 s,4,4 in 28.61 s,4,No lift,1.5,35.97 s,1,4.6 m,3,51.37 s,7
10,I. Garrido,ESP,14,28.31 s,1,3 in 29.20 s,2,100 kg,3.5,59.38 s,5,-,1,DNF,1.5
