#,Competitor,Country,TOT. PTS,Truck Pull,Pts,Conan's Wheel,Pts,Farmer's Walk,Pts,Deadlift,Pts,Loading Race,Pts,Crucifix Hold,Pts,Wheelbarrow Carry,Pts
1,S. Karlsen,NOR,61.5,19.56 s,9,955 °,11,27.49 s,9,9 reps,10.5,4 in 37.48 s,6,63.26 s,11,18.02 s,5
2,J. Virtanen,FIN,61,17.93 s,11,800 °,9,25.80 s,11,5 reps,4,4 in 28.10 s,9,57.90 s,7,14.59 s,10
3,M. Samuelsson,SWE,47,19.63 s,8,765 °,8,31.77 s,5,4 reps,3,4 in 60.30 s,4,57.97 s,8,14.15 s,11
3,Ž. Savickas,LTU,47,20.18 s,7,455 °,5.5,27.37 s,10,7 reps,6.5,4 in 36.86 s,7,62.37 s,9,18.78 s,2
5,M. Muhr,GER,46.5,23.16 s,3,810 °,10,29.24 s,7,9 reps,10.5,4 in 26.13 s,11,33.59 s,1,18.46 s,4
6,F. Rasmussen,DEN,45,18.08 s,10,185 °,3,39.52 s,2,2 reps,2,4 in 27.70 s,10,62.89 s,10,14.73 s,8
7,W. Zijlstra,NED,38.5,21.02 s,5,225 °,4,30.64 s,6,8 reps,8.5,4 in 38.26 s,5,43.80 s,3,16.11 s,7
8,H. Simonen,FIN,36.5,23.28 s,2,615 °,7,35.98 s,3,7 reps,6.5,4 in 31.75 s,8,50.51 s,4,16.98 s,6
9,B. Pittuck,GBR,34.5,22.51 s,4,155 °,2,28.43 s,8,8 reps,8.5,0 boxes,1,33.72 s,2,14.72 s,9
10,S. Heinonen,FIN,31.5,20.51 s,6,455 °,5.5,34.37 s,4,6 reps,5,3 boxes,3,53.76 s,5,18.70 s,3
11,G. Peksa,POL,13,27.80 s,1,70 °,1,27.5 m,1,0 reps,1,1 box,2,54.00 s,6,No lift,1
