#,Competitor,Country,TOT. PTS,Max Axle Press,Pts,Farmer's Walk,Pts,Medley,Pts,Deadlift,Pts,Atlas Stones,Pts
1,Ž. Savickas,LTU,40.5,193 kg,10,21.46 s,9,33.32 s,10,11 reps,7.5,5 in 20.18 s,4
2,T. Hollands,GBR,33,173 kg,7,24.07 s,7,33.41 s,9,12 reps,9,1 stone,1
3,M. Felix,GBR,31,(No lift),0,22.57 s,8,40.96 s,7,16 reps,10,5 in 12.47 s,6
4,S. Todorchev,BUL,27,(No lift),0,20.00 s,10,35.97 s,8,7 reps,4,5 in 14.87 s,5
5,L. Jean,CAN,24.5,173 kg,7,48.69 s,3,60.18 s,4,11 reps,7.5,5 in 23.53 s,3
6,S. Romanchuk,UKR,19.5,(No lift),0,25.03 s,6,42.88 s,6,10 reps,5.5,3 stones,2
7,A. Curletto,ITA,16.5,163 kg,4.5,36.75 s,4,52.75 s,5,6 reps,3,(Eliminated),0
8,R. Frampton,GBR,15,163 kg,4.5,30 m,2,67.19 s,3,10 reps,5.5,(Eliminated),0
9,J. Marku,GBR,14,173 kg,7,35.63 s,5,DNF (2 sacks),2,(Withdrew),0,(Eliminated),0
10,K. Radzikowski,POL,11,183 kg,9,26.03 m,1,DNF (3 flips),1,(Withdrew),0,(Eliminated),0
