#,Competitor,Country,TOT. PTS,Max Log Lift,Pts,Deadlift,Pts,Farmer's Walk,Pts,Car Walk,Pts,Atlas Stones,Pts
1,H. Björnsson,ISL,44,213 kg,10,6 reps,10,26.67 s,6,13.22 s,9,5 in 34.13 s,9
2,K. Janashia,GEO,36,200 kg,7.5,5 reps,8.5,23.77 s,7,20.95 s,5,5 in 36.14 s,8
3,M. Kieliszkowski,POL,35,175 kg,3.5,1 rep,1.5,19.90 s,10,11.22 s,10,5 in 24.62 s,10
4,Ž. Savickas,LTU,33,200 kg,7.5,3 reps,4.5,22.88 s,8,16.20 s,7,4 in 22.27 s,6
5,G. Hicks,GBR,27.5,200 kg,7.5,4 reps,7,28.4 m,2,14.71 s,8,3 in 15.00 s,3
6,T. Hollands,GBR,23.5,(No lift),0,1 rep,1.5,22.13 s,9,18.07 s,6,5 in 57.75 s,7
7,M. Belšak,SLO,20.5,190 kg,5,3 reps,4.5,29.6 m,3,7.32 m,3,4 in 31.19 s,5
8,M. Felix,GBR,17.5,(No lift),0,3 reps,4.5,45.72 s,5,22.40 s,4,4 in 31.21 s,4
9,K. Radzikowski,POL,16,200 kg,7.5,3 reps,4.5,38.68 m,4,(Withdrew),0,(Withdrew),0
10,V. Lalas,LTU,13,175 kg,3.5,5 reps,8.5,20 m,1,(Withdrew),0,(Withdrew),0
