#,Competitor,Country,TOT. PTS,Log Ladder,Pts,Load & Push,Pts,Deadlift,Pts,Conan's Wheel,Pts,Atlas Stones,Pts
1,P. Kordiyaka,UKR,57.5,5 in 52.55 s,13,44.14 s,13,3 reps,6.5,1009 °,13,5 in 21.76 s,12
2,O. Novikov,UKR,53.5,4 in 38.35 s,12,46.07 s,12,9 reps,12.5,897 °,12,4 in 15.41 s,5
3,A. Šmaukstelis,LAT,51.5,4 in 43.58 s,10,50.26 s,10,7 reps,10.5,710 °,8,5 in 20.47 s,13
4,E. Ingólfsson Melsted,ISL,45.5,4 in 40.98 s,11,54.89 s,4,6 reps,8.5,760 °,11,5 in 21.77 s,11
5,A. Bishop,GBR,41.5,2 in 17.01 s,1,49.80 s,11,9 reps,12.5,731 °,9,5 in 26.32 s,8
6,S. Flowers,GBR,37,2 in 12.20 s,3,50.94 s,9,6 reps,8.5,640 °,6.5,5 in 22.73 s,10
7,P. O'Dwyer,IRL,36.5,2 in 14.41 s,2,52.19 s,7,7 reps,10.5,733 °,10,5 in 30.90 s,7
8,K. Janashia,GEO,30.5,3 in 33.51 s,6,54.36 s,5,3 reps,6.5,363 °,4,5 in 23.69 s,9
9,D. Kohlruss,GER,26,3 in 30.66 s,7,62.54 s,2,2 reps,4.5,640 °,6.5,5 in 40.91 s,6
10,P. Smith,GBR,25.5,3 in 27.83 s,9,52.69 s,6,1 rep,2.5,582 °,5,2 in 16.03 s,3
11,G. Bilton,GBR,17.5,3 in 33.54 s,5,51.75 s,8,2 reps,4.5,(Withdrew),0,(Withdrew),0
12,J. Coraboeuf,FRA,16.5,3 in 37.27 s,4,55.39 s,3,1 rep,2.5,173 °,3,4 in 31.15 s,4
13,G. Hicks,GBR,8,3 in 29.09 s,8,(Withdrew),0,(Withdrew),0,(Withdrew),0,(Withdrew),0
