#,Competitor,Country,TOT. PTS,Farmer's Walk,Pts,Max Log Lift,Pts,Deadlift,Pts,Keg Toss,Pts,Africa Stone,Pts,Atlas Stones,Pts
1,B. Shaw,USA,63.5,35.10 s,8,170 kg,9.5,8 reps,10,8 in 26.10 s,12,62.9 m,12,5 in 17.76 s,12
2,M. Koklyaev,RUS,57,29.90 s,10,190 kg,12,10 reps,12,8 in 50.35 s,10,5.9 m,3,5 in 18.81 s,10
3,T. Hollands,GBR,54.5,28.74 s,11,170 kg,9.5,8 reps,10,6 kegs,8,39.4 m,5,5 in 18.02 s,11
4,S. Pétursson,ISL,49.5,37.41 s,7,160 kg,6.5,3 reps,7,8 in 36.31 s,11,54.6 m,9,5 in 20.21 s,9
5,M. Felix,GBR,48.5,30.32 s,9,140 kg,3.5,8 reps,10,6 kegs,8,55.8 m,10,5 in 21.44 s,8
6,E. Smit,RSA,40.5,26.15 s,12,140 kg,3.5,7 reps,8,6 kegs,8,49.2 m,6,4 in 41.20 s,3
7,F. Scheun,RSA,38.5,44.3 m,6,170 kg,9.5,0 reps,2,2 kegs,3,57.8 m,11,5 in 22.41 s,7
8,K. Ilin,UKR,36.5,35.1 m,3,170 kg,9.5,2 reps,5.5,5 kegs,5.5,54.5 m,8,5 in 26.00 s,5
9,R. Skog,NOR,30,40.3 m,4,140 kg,3.5,2 reps,5.5,4 kegs,4,51.1 m,7,5 in 25.15 s,6
10,G. van Staden,RSA,29,43.6 m,5,160 kg,6.5,1 rep,4,5 kegs,5.5,36.5 m,4,5 in 34.96 s,4
11,A. Sweeney,RSA,8.5,8.5 m,1,140 kg,3.5,0 reps,2,1 keg,2,(Eliminated),0,(Eliminated),0
12,V. Mseswa,RSA,6,33.3 m,2,No lift,1,0 reps,2,-,1,(Eliminated),0,(Eliminated),0
