#,Competitor,Country,TOT. PTS,Max Axle Press,Pts,Medley,Pts,Shield Carry,Pts,Deadlift,Pts,Log Lift,Pts,Atlas Stones,Pts
1,Ž. Savickas,LTU,48,215 kg,10,33.13 s,8,40.9 m,9,20 reps,9.5,6 reps,9.5,4 in 14.25 s,2
2,B. Shaw,USA,45,195 kg,6.5,35.34 s,6,45.54 m,10,20 reps,9.5,3 reps,7,5 in 14.20 s,6
3,S. Pétursson,ISL,35.5,195 kg,6.5,32.85 s,9,28 m,7,8 reps,3,2 reps,5,5 in 18.35 s,5
4,L. Shahlaei,GBR,33,205 kg,9,28.14 s,10,21.5 m,6,16 reps,7,0 reps,0,3 in 14.50 s,1
5,P. Pîrjol,ROU,30,195 kg,6.5,59.20 s,1,40.45 m,8,4 reps,1,6 reps,9.5,5 in 30.19 s,4
6,M. Felix,GBR,26,(No lift),0,36.33 s,5,20.96 m,5,19 reps,8,2 reps,5,5 in 31.19 s,3
7,K. Ilin,UKR,22.5,195 kg,6.5,54.20 s,2,9.3 m,2,12 reps,4,5 reps,8,(Eliminated),0
8,E. Katona,SRB,20.5,185 kg,3.5,35.10 s,7,20 m,4,15 reps,6,0 reps,0,(Eliminated),0
9,S. Todorchev,BUL,17,165 kg,2,41.50 s,4,16.65 m,3,13 reps,5,1 rep,3,(Eliminated),0
10,R. Skog,NOR,14.5,185 kg,3.5,44.16 s,3,5.67 m,1,6 reps,2,2 reps,5,(Eliminated),0
