#,Competitor,Country,TOT. PTS,Super Yoke,Pts,Arm Over Arm Pull,Pts,Viking Press,Pts,Deadlift,Pts,Dumbbell Press,Pts,Conan's Wheel,Pts,Atlas Stones,Pts
1,D. Poundstone,USA,63.5,13.83 s,12,4.24 m,5,18 reps,11.5,13 reps,11,9 reps,8,810 °,8,5 in 33.03 s,8
2,L. Shahlaei,GBR,62,11.11 s,13,10.52 m,10,18 reps,11.5,14 reps,12.5,4 reps,4,511 °,5,5 in 50.37 s,6
3,J. Årsjö,SWE,56.5,16.40 s,10,11.47 m,13,13 reps,6,9 reps,8.5,5 reps,5,754 °,7,5 in 44.59 s,7
4,A. Klyushev,RUS,53,14.05 s,11,5.77 m,7,18 reps,11.5,14 reps,12.5,3 reps,3,457 °,4,4 in 27.53 s,4
5,K. Ilin,UKR,51,19.10 s,7,10.66 m,11,15 reps,9,8 reps,6.5,8 reps,6.5,581 °,6,4 in 27.44 s,5
6,V. Kalinichenko,RUS,35.5,24.35 s,4,3.03 m,4,13 reps,6,12 reps,10,8 reps,6.5,243 °,3,4 in 54.98 s,2
7,J. Dymek,POL,33.5,17.10 s,8,5.28 m,6,18 reps,11.5,6 reps,5,0 reps,0,204 °,2,3 in 18.48 s,1
8,R. Frampton,GBR,30.5,16.68 s,9,0.08 m,3,13 reps,6,9 reps,8.5,0 reps,0,146 °,1,4 in 44.00 s,3
9,S. Romanchuk,UKR,22,21.76 s,6,8.68 m,9,8 reps,3,4 reps,4,(Eliminated),0,(Eliminated),0,(Eliminated),0
10,W. Brant,AUS,19.5,23.12 s,5,,0,14 reps,8,8 reps,6.5,(Eliminated),0,(Eliminated),0,(Eliminated),0
11,A. Dubrovskiy,UKR,15,23.83 m,1,10.88 m,12,5 reps,2,0 reps,0,(Eliminated),0,(Eliminated),0,(Eliminated),0
12,M. Petrík,SVK,11,31.19 s,2,7.41 m,8,3 reps,1,0 reps,0,(Eliminated),0,(Eliminated),0,(Eliminated),0
13,O. Berzuk,UKR,10,30.36 s,3,,0,9 reps,4,1 rep,3,(Eliminated),0,(Eliminated),0,(Eliminated),0
