#,Competitor,Country,TOT. PTS,Arm Over Arm Pull,Pts,Super Yoke,Pts,Log Lift,Pts,Shield Carry,Pts,Atlas Stones,Pts,Deadlift,Pts
1,K. Radzikowski,POL,55.5,15.25 s,9,10.31 s,9,9 reps,9.5,61.9 m,9,6 in 26.72 s,10,8 reps,9
2,M. Jenkins,USA,43.5,19.71 s,2,9.03 s,10,9 reps,9.5,64.45 m,10,6 in 31.97 s,8,5 reps,4
3,M. Baron,POL,38,16.75 s,5,11.00 s,7,5 reps,6,56.45 m,5,6 in 49.97 s,5,15 reps,10
4,H. Björnsson,ISL,38,16.91 s,4,11.13 s,6,5 reps,6,58.5 m,7,6 in 28.84 s,9,6 reps,6
5,T. Hollands,GBR,37,15.41 s,6,10.87 s,8,5 reps,6,58.95 m,8,6 in 46.09 s,6,3 reps,3
5,T. Kowal,POL,37,14.88 s,10,16.22 s,4,7 reps,8,56.7 m,6,5 in 45.00 s,3,6 reps,6
7,�. Nagy,HUN,23.5,15.31 s,8,18.03 s,3,1 rep,2.5,30.15 m,3,2 stones,1,6 reps,6
8,M. Forsmark,SWE,22,18.00 s,3,13.72 s,5,0 reps,0,42 m,4,5 in 87.12 s,2,7 reps,8
9,G. Gardner,GBR,20.5,15.34 s,7,21.97 s,2,1 rep,2.5,25.5 m,2,6 in 35.78 s,7,0 reps,0
10,A. Curletto,ITA,13,21.93 s,1,31.68 s,1,3 reps,4,25 m,1,5 in 50.00 s,4,1 rep,2
