#,Competitor,Country,TOT. PTS,Arm Over Arm Pull,Pts,Truck Pull,Pts,Viking Press,Pts,Super Yoke,Pts,Wheelbarrow Carry,Pts,Front Hold,Pts
1,L. Shahlaei,GBR,52,8.05 m,6,28.97 s,10,7 reps,10,11.49 s,10,8.66 s,9,44.00 s,7
2,J. Årsjö,SWE,48.5,9.45 m,10,30.06 s,8,6 reps,8.5,15.31 s,9,8.34 s,10,38.29 s,3
3,L. Nämi,EST,33,8.4 m,8,33.87 s,7,2 reps,3,18.65 s,5,10.01 s,5,42.20 s,5
4,W. Brant,AUS,32,7.35 m,4,36.42 s,4,3 reps,5,24.91 s,3,9.93 s,7,50.01 s,9
5,P. Pîrjol,ROU,32,6.9 m,3,36.00 s,5,2 reps,3,17.33 s,7,9.62 s,8,42.82 s,6
6,T. Lotta,FIN,31,8.25 m,7,29.87 s,9,5 reps,7,24.53 s,4,10.69 s,2,37.16 s,2
7,A. Mourujärvi,FIN,30,8.55 m,9,43.79 s,1,2 reps,3,43.98 s,1,9.97 s,6,55.19 s,10
8,A. Kazeļņiks,LAT,26.5,0.22 m,1,34.78 s,6,6 reps,8.5,17.56 s,6,10.38 s,4,28.20 s,1
9,A. Palmer,USA,23,6.85 m,2,41.81 s,2,0 reps,0,16.94 s,8,10.66 s,3,46.87 s,8
10,J. Järvi,FIN,21,7.4 m,5,38.06 s,3,4 reps,6,25.97 s,2,10.90 s,1,42.09 s,4
