#,Competitor,Country,TOT. PTS,Frame Carry,Pts,Viking Press,Pts,Keg Carry,Pts,Deadlift,Pts,Hip Lift,Pts,Loading Race,Pts
1,M. Jenkins,USA,58,29.35 s,10,18 reps,10,23.13 s,10,8 reps,8.5,1150 kg,9.5,5 in 65.00 s,10
2,N. Best,USA,44.5,69.00 s,8,10 reps,6,39.44 s,7,11 reps,10,1150 kg,9.5,4 in 76.50 s,4
3,M. Burke,USA,42,36.13 s,9,13 reps,7.5,30.60 s,9,0 reps,0,1050 kg,7.5,5 in 85.00 s,9
4,E. Hall,GBR,38,7.22 m,4,17 reps,9,36.75 m,2,8 reps,8.5,1050 kg,7.5,4 in 49.10 s,7
5,F. Scheun,RSA,36,3.18 m,3,13 reps,7.5,34.37 s,8,7 reps,7,800 kg,2.5,4 in 38.80 s,8
6,G. van Staden,RSA,33.5,28 m,7,8 reps,4.5,47.55 m,6,3 reps,5,900 kg,5,4 in 55.60 s,6
7,E. le Roux,AUS,29.5,14.84 m,6,8 reps,4.5,41.5 m,5,5 reps,6,900 kg,5,4 in 82.40 s,3
8,J. Hogg,NZL,19.5,12.3 m,5,1 rep,1.5,37.6 m,4,2 reps,4,900 kg,5,(Withdrew),0
9,M. Vrljic,AUS,15.5,2.1 m,2,3 reps,3,37.5 m,3,0 reps,0,800 kg,2.5,4 in 74.00 s,5
10,J. Steffens,AUS,3.5,,0,1 rep,1.5,28.85 m,1,0 reps,0,600 kg,1,(Withdrew),0
