#,Competitor,Country,TOT. PTS,Bus Pull,Pts,Viking Press,Pts,Super Yoke,Pts,Deadlift,Pts,Weight Throw,Pts,Loading Race,Pts
1,Ã�. Nagy,HUN,51.5,21.13 s,11,13 reps,8.5,24.28 s,11,5 reps,11,4.8 m,7,3 in 41.00 s,3
2,J. McIntosh,GBR,47,21.50 s,8,13 reps,8.5,29.04 s,9,4 reps,9.5,4.35 m,4,3 in 29.61 s,8
3,J. Thigpen,USA,46.5,21.24 s,9.5,16 reps,11.5,36.72 s,5,1 rep,6.5,5 m,8,3 in 32.20 s,6
4,T. Lotta,FIN,39,21.24 s,9.5,14 reps,10,31.06 s,7,0 reps,0,4.6 m,5.5,3 in 32.05 s,7
5,C. Gearing,GBR,34.5,21.98 s,3,10 reps,6.5,22.35 s,12,6 reps,12,,0,1 in 60.00 s,1
6,A. Moonen,NED,30.5,20.91 s,12,16 reps,11.5,28.15 m,2,0 reps,0,,0,3 in 36.25 s,5
7,G. Hrozik,HUN,30,21.94 s,4,10 reps,6.5,52.86 s,4,3 reps,8,4.6 m,5.5,3 in 42.37 s,2
8,P. PuzsÃ©r,SVK,29.5,21.90 s,5,8 reps,3,29.05 s,8,4 reps,9.5,,0,3 in 40.05 s,4
9,J. Rude,USA,20.5,21.86 s,6,9 reps,4.5,24.40 s,10,0 reps,0,(Eliminated),0,(Eliminated),0
10,P. Baboumian,GER,16,23.22 s,2,7 reps,1.5,33.65 s,6,1 rep,6.5,(Eliminated),0,(Eliminated),0
11,M. van der Haer,RSA,9.5,21.68 s,7,7 reps,1.5,-,1,0 reps,0,(Eliminated),0,(Eliminated),0
12,R. MarinkoviÄ‡,SRB,8.5,29.50 s,1,9 reps,4.5,29.5 m,3,0 reps,0,(Eliminated),0,(Eliminated),0
