#,Competitor,Country,TOT. PTS,Farmer's Walk,Pts,Overhead Medley,Pts,Medley,Pts,Deadlift,Pts,Stone to Shoulder,Pts,Loading Race,Pts
1,D. Poundstone,USA,66.5,16.09 s,12,4 in 27.45 s,12,18.31 s,12,12 reps,11,6 reps,7.5,3 in 23.67 s,12
2,N. Best,USA,61,19.91 s,10,4 in 50.68 s,7,19.75 s,10,13 reps,12,7 reps,11,3 in 24.80 s,11
3,F. Scheun,RSA,54.5,42.28 s,6,4 in 30.96 s,11,31.72 s,7,8 reps,9.5,7 reps,11,3 in 26.71 s,10
4,W. Brant,AUS,52,49.06 s,5,4 in 45.49 s,8,18.32 s,11,7 reps,8,7 reps,11,3 in 27.27 s,9
5,J. McIntosh,GBR,45,17.53 s,11,1 in 3.99 s,5,52.56 s,4,8 reps,9.5,6 reps,7.5,3 in 27.49 s,8
6,G. van Staden,RSA,44.5,21.22 s,9,4 in 39.64 s,10,30.50 s,8,5 reps,6,4 reps,4.5,3 in 28.77 s,7
7,E. le Roux,AUS,36.5,22.94 s,8,1 in 4.77 s,3,34.97 s,5,6 reps,7,6 reps,7.5,3 in 31.27 s,6
8,T. O'Brien,RSA,34,42.00 s,7,4 in 42.14 s,9,14.9 m,1,4 reps,4.5,6 reps,7.5,3 in 37.90 s,5
9,M. Wells,AUS,26,11.05 m,2,3 in 44.49 s,6,33.62 s,6,4 reps,4.5,4 reps,4.5,3 in 45.96 s,3
10,J. Steffens,AUS,24,18.5 m,4,1 in 4.67 s,4,29.62 s,9,0 reps,0,2 reps,3,3 in 44.05 s,4
11,R. Kilpatrick,AUS,7,9.06 m,1,1 in 11.74 s,1,27.25 m,3,0 reps,0,1 rep,2,(Withdrew),0
11,L. Rørbakken,NOR,7,18.05 m,3,1 in 6.69 s,2,24.2 m,2,0 reps,0,(Withdrew),0,(Withdrew),0
