#,Competitor,Country,TOT. PTS,Carry & Drag,Pts,Deadlift,Pts,Farmer's Walk,Pts,Fingal's Fingers,Pts,Viking Press,Pts,Atlas Stones,Pts
1,J. Årsjö,SWE,52.5,40.78 s,10,7 reps,10,37.97 s,6,4 flips,10,11 reps,6.5,5 in 22.51 s,10
2,O. Hansen,NOR,40,52.65 s,7,6 reps,8,39.59 s,3,2 flips,7,13 reps,9,4 in 20.85 s,6
3,J. Järvi,FIN,32.5,9.15 m,4,3 reps,4,33.03 s,9,2 flips,7,11 reps,6.5,4 in 26.71 s,2
4,N. Hansen,DEN,32.5,52.34 s,8,3 reps,4,34.56 s,8,1 flip,2.5,8 reps,5,4 in 22.39 s,5
5,S. Davidsson,SWE,31.5,7.3 m,3,4 reps,6,31.87 s,10,1 flip,2.5,1 rep,1,5 in 25.76 s,9
6,L. Renals,GBR,30,12.36 m,6,6 reps,8,38.53 s,5,2 flips,7,6 reps,3,4 in 41.16 s,1
7,Ø. Rein,NOR,29.5,45.72 s,9,3 reps,4,38.69 s,4,1 flip,2.5,6 reps,3,5 in 46.96 s,7
8,P. Logason,ISL,29.5,10.95 m,5,6 reps,8,36.69 s,7,1 flip,2.5,6 reps,3,4 in 23.33 s,4
9,B. Solvang,NOR,29,6.22 m,2,0 reps,0,40.09 s,2,2 flips,7,14 reps,10,5 in 28.85 s,8
10,D. Nyström,SWE,22,5.28 m,1,2 reps,2,46.88 s,1,2 flips,7,12 reps,8,4 in 25.15 s,3
