#,Competitor,Country,TOT. PTS,Deadlift,Pts,Safe Lift,Pts,Keg Toss,Pts,Fingal's Fingers,Pts,Car Walk,Pts,Atlas Stones,Pts
1,J. Årsjö,SWE,55.5,5 reps,9.5,12 reps,12,7 in 15.76 s,12,4 in 31.70 s,11,10.50 s,11,(Did not attempt),0
2,J. Hansson,SWE,53.5,1 rep,4.5,8 reps,9,7 in 17.07 s,11,4 in 30.50 s,12,13.57 s,7,5 in 43.44 s,10
3,Ž. Savickas,LTU,53,4 reps,8,7 reps,8,7 in 45.57 s,7,4 in 44.88 s,8,10.90 s,10,5 in 31.85 s,12
4,M. Forsmark,SWE,52,6 reps,11,6 reps,7,6 in 21.09 s,6,4 in 39.50 s,9,11.90 s,8,5 in 34.57 s,11
5,A. Ståhlberg,SWE,46.5,3 reps,6.5,9 reps,10,7 in 23.30 s,10,4 in 34.53 s,10,19.22 s,2,5 in 46.49 s,8
6,A. Bishop,GBR,45,7 reps,12,1 rep,5,7 in 43.60 s,8,3 in 46.43 s,2,11.54 s,9,5 in 44.70 s,9
7,R. Kearney,USA,43.5,5 reps,9.5,5 reps,6,3 in 24.72 s,3,4 in 56.20 s,6,10.02 s,12,4 in 27.79 s,7
8,M. Leicht,DEN,40.5,3 reps,6.5,11 reps,11,7 in 31.93 s,9,3 in 40.50 s,5,17.44 s,4,3 in 48.52 s,5
9,A. Mourujärvi,FIN,23.5,1 rep,4.5,0 reps,0,6 in 25.32 s,5,4 in 47.95 s,7,19.42 s,1,3 in 45.98 s,6
10,J. Rude,USA,15,0 reps,0,0 reps,0,4 in 14.16 s,4,3 in 45.74 s,3,14.61 s,5,2 in 22.36 s,3
11,J. Granli,NOR,12,0 reps,0,0 reps,0,2 in 14.03 s,1,3 in 44.10 s,4,17.80 s,3,2 in 19.62 s,4
12,J. Pollock,GBR,9,0 reps,0,0 reps,0,2 in 9.70 s,2,2 in 46.08 s,1,14.49 s,6,0 in 60.00 s,0
