#,Competitor,Country,TOT. PTS,Log Lift,Pts,Deadlift,Pts,Frame Carry,Pts,Super Yoke,Pts,Atlas Stones,Pts
1,Å½. Savickas,LTU,36,8 reps,10,2 reps,8,10.63 s,4,11.16 s,4,5 in 20.16 s,10
2,K. Janashia,GEO,35.5,6 reps,6,5 reps,9.5,10.13 s,7,9.83 s,6,5 in 32.22 s,7
3,J. Caron,CAN,35,7 reps,8.5,5 reps,9.5,10.29 s,6,11.54 s,3,5 in 22.52 s,8
4,C. Sanou,BUR,31,6 reps,6,0 reps,0,9.68 s,10,9.51 s,9,5 in 40.25 s,6
5,M. Shivlyakov,RUS,28,5 reps,4,1 rep,7,9.95 s,8,10.75 s,5,5 in 57.84 s,4
6,R. Oberst,USA,27.5,7 reps,8.5,0 reps,0,11.31 s,3,9.79 s,7,5 in 22.44 s,9
7,L. Shahlaei,GBR,26,6 reps,6,0 reps,0,9.77 s,9,9.63 s,8,4 in 41.23 s,3
8,N. Best,USA,21,1 rep,1,0 reps,0,10.47 s,5,9.21 s,10,5 in 42.95 s,5
9,T. Hollands,GBR,9,4 reps,3,0 reps,0,11.63 s,2,11.59 s,2,1 in 7.12 s,2
10,E. Hall,GBR,2,2 reps,2,(Withdrew),0,(Withdrew),0,(Withdrew),0,(Withdrew),0
