#,Competitor,Country,TOT. PTS,Max Axle Press,Pts,Deadlift,Pts,Carry & Drag,Pts,Car Walk,Pts,Atlas Stones,Pts
1,M. Kieliszkowski,POL,44,195 kg,8.5,3 reps,3.5,28.75 s,10,12.15 s,11,5 in 16.09 s,11
2,M. Licis,USA,43.5,195 kg,8.5,8 reps,11,29.56 s,9,17.77 s,5,5 in 18.73 s,10
3,A. Bishop,GBR,37.5,180 kg,4.5,5 reps,8,25.66 s,11,15.53 s,8,5 in 36.03 s,6
4,M. BelÅ¡ak,SLO,36,195 kg,8.5,3 reps,3.5,33.28 s,6,15.30 s,10,5 in 22.57 s,8
5,V. Lalas,LTU,31.5,180 kg,4.5,5 reps,8,31.62 s,7,17.26 s,7,5 in 59.90 s,5
6,M. Shivlyakov,RUS,29.5,180 kg,4.5,6 reps,10,33.98 s,5,17.64 s,6,4 in 22.36 s,4
7,T. Stoltman,GBR,28.5,160 kg,2,4 reps,5.5,29.72 s,8,20.44 s,4,5 in 21.67 s,9
8,C. Sanou,BUR,26.5,207 kg,11,2 reps,1.5,52.95 s,2,15.31 s,9,4 in 25.02 s,3
9,M. Felix,GBR,18.5,(No lift),0,4 reps,5.5,52.84 s,3,21.46 s,3,5 in 26.06 s,7
9,K. Janashia,GEO,18.5,180 kg,4.5,5 reps,8,35.17 s,4,23.27 s,2,(Withdrew),0
11,Å½. Savickas,LTU,11,195 kg,8.5,2 reps,1.5,54.96 s,1,(Withdrew),0,(Withdrew),0
