#,Competitor,Country,TOT. PTS,Deadlift,Pts,Dumbbell Press,Pts,Car Walk,Pts,Hercules Hold,Pts,Atlas Stones,Pts
1,M. Kieliszkowski,POL,47.5,3 reps,4.5,9 reps,13,10.00 s,13,49.59 s,5,5 in 21.15 s,12
2,B. Brunning,GBR,45,5 reps,8.5,4 reps,7.5,15.76 s,8,75.40 s,11,5 in 26.79 s,10
3,O. Novikov,UKR,45,7 reps,12,8 reps,12,16.49 s,7,55.56 s,6,5 in 29.38 s,8
4,M. Felix,GBR,43,7 reps,12,1 rep,2,16.88 s,5,87.52 s,13,5 in 26.53 s,11
5,E. Singleton,USA,40,3 reps,4.5,7 reps,10.5,11.25 s,11,68.72 s,9,5 in 34.50 s,5
6,C. Sanou,BUR,40,3 reps,4.5,7 reps,10.5,11.12 s,12,70.59 s,10,4 in 32.16 s,3
7,A. Bishop,GBR,39,7 reps,12,3 reps,5,15.49 s,9,47.39 s,4,5 in 29.14 s,9
8,T. Stoltman,GBR,32,6 reps,10,3 reps,5,19.14 s,3,34.03 s,1,5 in 20.88 s,13
9,R. Oberst,USA,31,0 reps,0,3 reps,5,14.46 s,10,79.63 s,12,5 in 48.15 s,4
10,L. Stoltman,GBR,27.5,3 reps,4.5,5 reps,9,16.75 s,6,43.69 s,2,5 in 32.72 s,6
11,K. Faires,USA,26,4 reps,7,1 rep,2,20.45 s,2,61.63 s,8,5 in 31.29 s,7
12,M. Shivlyakov,RUS,20,5 reps,8.5,4 reps,7.5,DNF,1,44.02 s,3,0 in 60.00 s,0
13,T. Hollands,GBR,17,1 rep,2,1 rep,2,16.95 s,4,58.52 s,7,4 in 43.46 s,2
