#,Competitor,Country,TOT. PTS,Max Deadlift,Pts,Carry & Drag,Pts,Viking Press,Pts,Front Hold,Pts,Atlas Stones,Pts
1,E. Singleton,USA,43,453.5 kg,7,27.38 s,10,12 reps,10,41.91 s,8,5 in 20.10 s,8
2,A. Bishop,GBR,40.5,453.5 kg,7,31.17 s,9,11 reps,8.5,35.85 s,6,5 in 18.81 s,10
3,O. Novikov,UKR,39.5,453.5 kg,7,31.59 s,8,11 reps,8.5,43.93 s,9,5 in 20.90 s,7
4,P. Nakonechnyy,UKR,29.5,453.5 kg,7,36.91 s,6,9 reps,5.5,27.00 s,2,5 in 19.76 s,9
5,G. Peña,MEX,26,453.5 kg,7,33.4 m,4,1 rep,1,46.85 s,10,5 in 25.96 s,4
6,G. Bilton,GBR,21.5,425 kg,2.5,24.1 m,2,10 reps,7,29.95 s,4,5 in 22.76 s,6
7,A. Black,GBR,20,425 kg,2.5,36.05 s,7,4 reps,2.5,27.26 s,3,5 in 24.28 s,5
8,R. Heinla,EST,19,425 kg,2.5,22 m,1,9 reps,5.5,36.91 s,7,5 in 28.72 s,3
9,M. Shivlyakov,RUS,18.5,425 kg,2.5,40.66 s,5,8 reps,4,32.46 s,5,5 in 29.76 s,2
10,I. Makarov,UKR,17.5,475 kg,10,29.2 m,3,4 reps,2.5,20.38 s,1,4 in 48.40 s,1
