#,Competitor,Country,TOT. PTS,Nicol Stones,Pts,Super Yoke,Pts,Deadlift,Pts,Viking Press,Pts,Atlas Stones,Pts
1,E. Singleton,USA,47,25.25 m,9,12.19 s,10,5 reps,8.5,17 reps,9.5,5 in 25.18 s,10
2,T. Stoltman,GBR,46.5,20.87 m,7,12.21 s,9,6 reps,10,17 reps,9.5,5 in 20.29 s,11
3,M. Hooper,CAN,43,26.66 m,10,9.84 s,11,7 reps,11,14 reps,6,3 in 16.19 s,5
4,T. Mitchell,USA,33.5,5.73 m,1,17.47 s,4,5 reps,8.5,18 reps,11,4 in 22.21 s,9
5,E. Williams,AUS,32,31.66 m,11,15.36 s,5,3 reps,6,7 reps,2,4 in 25.75 s,8
6,L. Stoltman,GBR,28,19.53 m,6,14.87 s,6,3 reps,6,11 reps,4,3 in 12.80 s,6
7,S. Remick,USA,27,6.95 m,2,14.45 s,7,2 reps,3.5,15 reps,7.5,4 in 27.47 s,7
8,P. Kordiyaka,UKR,22.5,16.14 m,4,13.42 s,8,1 rep,1.5,13 reps,5,3 in 23.07 s,4
9,K. Faires,USA,22,24.82 m,8,20.16 s,2,3 reps,6,9 reps,3,1 in 25.40 s,3
10,C. Sanou,BUR,19,17.34 m,5,20.11 s,3,2 reps,3.5,15 reps,7.5,(Withdrew),0
11,R. Keene,AUS,5.5,12.5 m,3,31.20 s,1,1 rep,1.5,(Withdrew),0,(Withdrew),0
