#,Competitor,Country,TOT. PTS,Max Deadlift,Pts,Dumbbell Medley,Pts,Load & Push,Pts,Wrecking Ball Hold,Pts,Atlas Stones,Pts
1,E. Singleton,USA,42.5,455 kg,10.5,4 in 29.79 s,9,49.17 s,10,75.03 s,11,1 in 6.88 s,2
2,G. Bilton,GBR,37,430 kg,8,4 in 51.83 s,6,55.07 s,6,63.16 s,7,5 in 22.10 s,10
3,S. Flowers,GBR,35,430 kg,8,2 in 18.92 s,2,55.13 s,5,65.26 s,9,5 in 20.69 s,11
4,R. Kearney,USA,35,400 kg,4,4 in 33.10 s,8,52.08 s,9,48.23 s,5,5 in 22.23 s,9
5,L. Stoltman,GBR,32,400 kg,4,5 in 58.87 s,10,49.15 s,11,47.90 s,3,4 in 16.51 s,4
6,O. Ziółkowski,POL,31,(No lift),0,5 in 54.36 s,11,53.80 s,7,57.29 s,6,5 in 24.17 s,7
7,E. Aryee,GHA,31,400 kg,4,3 in 36.92 s,4,53.60 s,8,69.79 s,10,5 in 26.25 s,5
8,P. O'Dwyer,IRL,26,400 kg,4,3 in 25.64 s,5,56.30 s,3,63.96 s,8,5 in 24.91 s,6
9,A. Andrade,MEX,26,430 kg,8,4 in 43.52 s,7,56.13 s,4,47.90 s,4,4 in 16.56 s,3
10,R. Heinla,EST,25.5,455 kg,10.5,3 in 32.23 s,3,3 in 49.17 s,2,24.66 s,2,5 in 22.80 s,8
11,O. Novikov,UKR,5,400 kg,4,2 in 20.11 s,1,(Withdrew),0,(Withdrew),0,(Withdrew),0
