#,Competitor,Country,TOT. PTS,Max Log Lift,Pts,Sandbag Steeplechase,Pts,Deadlift,Pts,Conan's Wheel,Pts,Atlas Stones,Pts
1,T. Stoltman,GBR,54.5,210 kg,12,29.92 s,12,7 reps,10.5,618 °,8,5 in 19.23 s,12
2,M. Ragg,NZL,51.5,186 kg,6.5,31.41 s,10,8 reps,12,845 °,12,5 in 28.81 s,11
3,M. Hooper,CAN,46,200 kg,9.5,34.63 s,7,7 reps,10.5,841 °,11,4 in 19.32 s,8
4,P. Kordiyaka,UKR,42.5,200 kg,9.5,30.48 s,11,4 reps,6,820 °,10,4 in 25.94 s,6
5,L. Stoltman,GBR,40.5,200 kg,9.5,33.62 s,9,4 reps,6,562 °,6,5 in 37.56 s,10
6,G. Bilton,GBR,34,170 kg,4,36.81 s,5,5 reps,9,608 °,7,5 in 41.64 s,9
7,O. Fojtů,CZE,27.5,186 kg,6.5,34.44 s,8,4 reps,6,553 °,5,3 in 42.16 s,2
8,T. Cotton,USA,22,200 kg,9.5,37.76 s,3,3 reps,2.5,425 °,2,4 in 29.13 s,5
9,P. O'Dwyer,IRL,22,(No lift),0,36.84 s,4,4 reps,6,756 °,9,4 in 50.11 s,3
10,E. Williams,AUS,21,170 kg,4,42.16 s,1,4 reps,6,471 °,3,4 in 23.71 s,7
11,C. Curran,GBR,16.5,(No lift),0,35.30 s,6,3 reps,2.5,506 °,4,4 in 33.20 s,4
12,E. Aryee,GHA,6,170 kg,4,38.22 s,2,(Withdrew),0,(Withdrew),0,(Withdrew),0
