#,Competitor,Country,TOT. PTS,Max Stone Press,Pts,Medley,Pts,Log Medley,Pts,Stone to Shoulder,Pts,Deadlift,Pts,Húsafell Stone,Pts
1,M. Boudreault,CAN,72,105 kg,5,36 m,13,4 in 35.75 s,14,4 in 47.44 s,13,7 reps,14,42.3 m,13
2,E. Ingólfsson Melsted,ISL,69.5,137 kg,14,23.2 m,9,4 in 47.37 s,12,4 in 56.72 s,12,4 reps,10.5,42.2 m,12
3,S. Ahola,FIN,60.5,112 kg,10,56.73 s,14,4 in 49.06 s,10,4 in 68.02 s,10,1 rep,6.5,41.15 m,10
4,K. Haraldsson,ISL,58.5,112 kg,10,27 m,11,2 in 19.12 s,6,4 in 44.69 s,14,1 rep,6.5,41.7 m,11
5,R. England,GBR,56,133 kg,13,16.7 m,3,4 in 42.92 s,13,3 in 31.87 s,8,5 reps,12,33.9 m,7
6,E. Toots,EST,51.5,112 kg,10,28.95 m,12,2 in 19.05 s,7,3 in 47.56 s,6,3 reps,8.5,38.4 m,8
7,S. Fossdal,ISL,45,112 kg,10,20.8 m,8,2 in 37.17 s,4,4 in 85.32 s,9,0 reps,0,48.7 m,14
8,P. Motal,FRA,41.5,105 kg,5,23.7 m,10,2 in 20.94 s,5,3 in 47.77 s,5,4 reps,10.5,30.12 m,6
9,D. Kohlruss,GER,34,105 kg,5,19.6 m,7,4 in 48.22 s,11,4 in 60.33 s,11,Withdrew,0,Withdrew,0
10,K. Lorentzen,GRL,33,No lift,0,19.2 m,5,3 in 36.67 s,8,3 in 34.48 s,7,6 reps,13,-,0
11,T. Gudmundsson,ISL,24,105 kg,5,19 m,4,1 in 8.32 s,2,3 in 56.85 s,4,0 reps,0,40 m,9
12,S. Carradine,USA,20,105 kg,5,19.4 m,6,3 in 33.73 s,9,0 in 90.00 s,0,Withdrew,0,Withdrew,0
13,L. Jauregui Lorda,ARG,13.5,No lift,0,12.99 m,2,1 in 8.25 s,3,0 in 90.00 s,0,3 reps,8.5,-,0
14,T. Thorsteinsson,ISL,11,112 kg,10,9 m,1,Withdrew,0,Withdrew,0,Withdrew,0,Withdrew,0
