#,Competitor,Country,TOT. PTS,Rock Press,Pts,Natural Stones,Pts,Hammer Throw,Pts,Húsafell Stone,Pts,Stone to Shoulder,Pts,Farmer's Walk,Pts,Deadlift,Pts,Log Medley,Pts
1,R. Keene,AUS,87.5,138 kg,13,3 in 19.39 s,7,8.32 m,9,51.4 m,8,4 in 34.16 s,14,34.77 m,13,5 reps,11.5,3 in 24.09 s,12
2,M. Boudreault,CAN,81.5,100 kg,3,4 in 33.21 s,12,9.14 m,12,80 m,13,4 in 36.91 s,12,27.95 m,11,2 reps,4.5,4 in 30.63 s,14
3,E. Ingólfsson Melsted,ISL,79,138 kg,13,4 in 32.17 s,13,7.19 m,3,48.9 m,5,4 in 36.20 s,13,10.1 m,5,7 reps,14,4 in 38.28 s,13
4,V. Jokužys,LTU,72.5,122 kg,11,3 in 16.33 s,8,9.22 m,13,83.9 m,14,3 in 22.69 s,8,25.44 m,10,1 rep,2.5,2 in 14.72 s,6
5,C. Sloan,CAN,68.5,112 kg,8,3 in 25.12 s,4,6.62 m,2,75.3 m,12,4 in 52.07 s,11,18.6 m,9,5 reps,11.5,3 in 30.63 s,11
6,S. Torfason,ISL,65.5,112 kg,8,4 in 45.41 s,9,9.9 m,14,70.9 m,11,2 in 12.39 s,1,29.4 m,12,3 reps,6.5,2 in 19.46 s,4
7,E. Toots,EST,65.5,100 kg,3,4 in 34.13 s,11,8.78 m,11,67.2 m,10,4 in 61.89 s,9,15.3 m,7,2 reps,4.5,3 in 31.97 s,10
8,M. Törrö,FIN,56.5,112 kg,8,3 in 24.97 s,5,8.43 m,10,49.6 m,6,3 in 38.91 s,2,35.88 m,14,3 reps,6.5,2 in 17.54 s,5
9,J. Finerty,USA,54.5,138 kg,13,3 in 21.74 s,6,7.94 m,7,36 m,2,3 in 30.02 s,5,13.78 m,6,4 reps,8.5,3 in 60.86 s,7
10,J. Jeffers,CAN,51.5,112 kg,8,4 in 38.79 s,10,7.81 m,6,51.2 m,7,3 in 22.73 s,7,5.53 m,3,4 reps,8.5,2 in 20.86 s,2
11,K. Haraldsson,ISL,50,112 kg,8,4 in 26.73 s,14,7.41 m,4,58.9 m,9,3 in 26.69 s,6,15.42 m,8,0 reps,0,2 in 29.58 s,1
12,K. Lorentzen,GRL,46.5,100 kg,3,3 in 33.68 s,2,8.03 m,8,45.4 m,3,4 in 54.77 s,10,1.13 m,1,5 reps,11.5,3 in 36.37 s,8
13,P. Motal,FRA,33.5,100 kg,3,3 in 25.96 s,3,6.47 m,1,48.7 m,4,3 in 31.85 s,4,8.21 m,4,5 reps,11.5,2 in 19.80 s,3
14,R. England,GBR,26.5,100 kg,3,2 in 19.90 s,1,7.55 m,5,35.9 m,1,3 in 35.66 s,3,4.55 m,2,1 rep,2.5,3 in 32.36 s,9
