#,Competitor,Country,TOT. PTS,Bag Over Bar,Pts,Rock Press,Pts,Stone to Shoulder,Pts,Front Hold,Pts,Húsafell Stone,Pts,Farmer's Walk,Pts,Vertical Lift,Pts,Deadlift,Pts,Log Ladder,Pts
1,T. Hoath,CAN,85,6 in 28.28 s,8,2 in 33.06 s,6,4 in 44.36 s,11,73.51 s,11,56.86 m,9,35 m,11,11.37 s,12,5 reps,10,3 in 27.26 s,7
2,R. Keene,AUS,80,4 in 11.35 s,5,4 in 70.41 s,11,4 in 48.26 s,8,77.98 s,12,54.33 m,8,27.09 m,10,18.23 s,5,4 reps,9,4 in 41.53 s,12
3,S. Flowers,GBR,79,6 in 15.44 s,12,2 in 35.64 s,5,4 in 37.94 s,12,52.15 s,5,68.02 m,11,21.72 m,7,15.64 s,7,6 reps,11,3 in 23.95 s,9
4,V. Jokužys,LTU,68,5 in 32.90 s,6,2 in 21.91 s,9,4 in 47.10 s,10,51.37 s,4,83.61 m,12,25.8 m,9,15.41 s,8,1 rep,6,2 in 14.25 s,4
5,P. Kordiyaka,UKR,67,6 in 17.05 s,11,1 in 10.02 s,4,4 in 48.17 s,9,40.74 s,1,47.62 m,4,23.8 m,8,11.52 s,11,3 reps,8,4 in 45.34 s,11
6,P. O'Dwyer,IRL,60,5 in 16.35 s,7,3 in 42.83 s,10,3 in 22.22 s,7,44.13 s,3,41.31 m,2,13.58 m,3,14.03 s,10,7 reps,12,3 in 37.15 s,6
7,S. Fossdal,ISL,53,3 in 32.50 s,1,2 in 25.48 s,8,3 in 34.25 s,6,63.97 s,10,56.9 m,10,15 m,5,25.42 s,2,1 rep,6,3 in 57.42 s,5
8,M. Törrö,FIN,53,6 in 21.97 s,9,1 in 10.42 s,3,3 in 36.50 s,4,55.72 s,7,43.37 m,3,38.75 m,12,15.71 s,6,1 rep,6,2 in 17.77 s,3
9,S. Gillen,AUS,51,4 in 13.36 s,4,4 in 67.50 s,12,3 in 36.40 s,5,60.17 s,8,49.26 m,5,18.76 m,6,26.16 s,1,0 reps,0,4 in 48.78 s,10
10,K. Níelsson,ISL,40,3 in 14.59 s,2,2 in 29.73 s,7,3 in 53.19 s,2,62.47 s,9,51.34 m,6,9.15 m,2,22.04 s,4,0 reps,0,3 in 27.22 s,8
11,T. Gudmundsson,ISL,35,6 in 17.71 s,10,1 in 15.33 s,2,3 in 37.16 s,3,42.45 s,2,52.3 m,7,6.58 m,1,15.00 s,9,0 reps,0,1 in 56.24 s,1
12,M. Riddall,ESP,20,4 in 17.40 s,3,1 in 23.09 s,1,2 in 21.19 s,1,53.82 s,6,0 m,0,13.73 m,4,24.45 s,3,0 reps,0,2 in 30.94 s,2
