#,Competitor,Country,TOT. PTS,Max Deadlift,Pts,Cyr Dumbbell Ladder,Pts,Wheel of Pain,Pts,Medley,Pts,Inver Stones,Pts
1,M. Licis,USA,45,411 kg,8,3 in ~36.5 s,9,26.06 m,9,4 in 43.33 s,9,5 in 23.53 s,10
2,T. Stoltman,GBR,42,413 kg,9,2 in ~27.5 s,6,27.2 m,10,4 in 50.65 s,8,5 in 29.16 s,9
3,O. Novikov,UKR,34,391 kg,5,5 in 59.59 s,10,23.24 m,7,4 in 64.08 s,6,4 in ~64.5 s,6
4,M. Kieliszkowski,POL,29.5,No lift,1.5,3 in ~59.5 s,8,25.45 m,8,4 in 40.41 s,10,1 in ~9.4 s,2
5,J. Caron,CAN,28,420 kg,10,1 in ~8.4 s,2,8.99 m,1,4 in 54.51 s,7,5 in 42.45 s,8
6,R. Kearney,USA,26,397 kg,6,2 in ~28.5 s,5,19.28 m,5,2 in ~27.3 s,3,4 in ~33.4 s,7
7,B. Shaw,USA,23,400 kg,7,2 in ~20.6 s,7,16.69 m,3,4 in 96.40 s,5,0 in 120.00 s,1
8,L. Stoltman,GBR,22,384 kg,3,1 in ~7.4 s,4,22.48 m,6,3 in ~37.5 s,4,3 in ~17.6 s,5
9,M. Shivlyakov,RUS,13.5,No lift,1.5,1 in ~8.2 s,3,16.99 m,4,1 in ~49.3 s,2,2 in ~13.3 s,3
10,J. Pritchett,USA,12,388 kg,4,0 in 150.00 s,1,15.47 m,2,0 in 150.00 s,1,2 in ~12.1 s,4
