#,Competitor,Country,TOT. PTS,Deadlift,Pts,Cyr Dumbbell Ladder,Pts,Húsafell Sandbag Carry,Pts,Rogue-a-Coaster,Pts,Yoke+Log Medley,Pts,Inver Stones,Pts
1,O. Novikov,UKR,49.5,9 reps,7.5,5 in 116.86 s,10,65.15 m,9,39.04 s,8,4 in 59.57 s,7,5 in 29.96 s,8
2,T. Mitchell,USA,48,10 reps,9,4 in 49.39 s,9,48.21 m,7,40.89 s,7,4 in 68.05 s,6,5 in 23.78 s,10
3,M. Hooper,CAN,43.5,8 reps,5.5,1 in 7.31 s,3,68.58 m,10,42.53 s,6,4 in 32.69 s,10,5 in 27.37 s,9
4,M. Licis,USA,37.5,9 reps,7.5,3 in 32.52 s,8,41.66 m,5,33.83 s,10,3 in 44.68 s,4,3 in 13.67 s,3
5,P. Nakonechnyy,UKR,35,12 reps,10,1 in 13.19 s,2,63.5 m,8,38.51 s,9,2 in 48.59 s,1,4 in 22.19 s,5
6,B. Thompson,USA,27.5,8 reps,5.5,1 in 6.89 s,4,41.35 m,4,62.28 s,5,4 in 53.86 s,8,2 in 11.91 s,1
7,M. Boudreault,CAN,27,0 reps,1,1 in 6.18 s,5,32.11 m,1,69.60 s,4,4 in 46.78 s,9,5 in 35.29 s,7
8,R. Kearney,USA,25,7 reps,4,3 in 49.81 s,7,45.19 m,6,7.8 m,1,4 in 80.58 s,5,3 in 15.43 s,2
9,E. Ingólfsson Melsted,ISL,22.5,2 reps,2.5,2 in 20.93 s,6,39.47 m,2,87.62 s,3,3 in 116.66 s,3,5 in 66.43 s,6
10,K. Faires,USA,14.5,2 reps,2.5,1 in 17.91 s,1,40.59 m,3,13.2 m,2,2 in 39.71 s,2,4 in 31.26 s,4
