#,Competitor,Country,TOT. PTS,Deadlift,Pts,Sled Pull,Pts,Rogue-a-Coaster,Pts,Log Lift,Pts,The Duel,Pts
1,M. Hooper,CAN,42,7 reps,8,11.15 m,9,38.18 s,7,9 reps,9,17.84 s,9
2,T. Stoltman,GBR,40,4 reps,6,7.06 m,5,33.08 s,9,10 reps,10,17.57 s,10
3,M. Kieliszkowski,POL,31.5,0 reps,0,42.54 s,10,27.95 s,10,7 reps,4.5,19.63 s,7
4,E. Singleton,USA,28.5,2 reps,4,10.92 m,8,35.40 s,8,5 reps,2.5,20.55 s,6
5,B. Thompson,USA,25.5,8 reps,9.5,4.29 m,1,47.28 s,3,8 reps,7,20.81 s,5
6,M. Boudreault,CAN,23.5,0 reps,0,9.53 m,6,42.39 s,5,7 reps,4.5,18.83 s,8
7,T. Evans,USA,23,3 reps,5,6.4 m,3,44.98 s,4,8 reps,7,20.94 s,4
8,L. Stoltman,GBR,22,1 rep,3,10.31 m,7,15.2 m,2,8 reps,7,22.35 s,3
9,O. Novikov,UKR,21.5,6 reps,7,6.73 m,4,40.37 s,6,5 reps,2.5,23.38 s,2
10,T. Mitchell,USA,11.5,8 reps,9.5,5.05 m,2,(Withdrew),0,(Withdrew),0,(Withdrew),0
