#,Competitor,Country,TOT. PTS,Max Log Lift,Pts,Super Yoke,Pts,Farmer's Walk,Pts,Max Deadlift,Pts,Dumbbell Press,Pts,Atlas Stones,Pts
1,B. Shaw,USA,47.5,200 kg,8,,8,34.82 s,7,472 kg,5.5,7 reps,9,6 in 35.68 s,10
2,J. Caron,CAN,44.5,182 kg,3.5,18.03 s,9,43.50 s,6,545 kg,10,4 reps,8,6 in 50.97 s,8
3,O. Novikov,UKR,40,182 kg,3.5,13.96 s,10,19.08 m,4,472 kg,5.5,8 reps,10,5 in 31.96 s,7
4,T. Mitchell,USA,35.5,200 kg,8,,6,12.12 m,1,481 kg,7,2 reps,4.5,6 in 36.54 s,9
5,J. Pritchett,USA,33.5,191 kg,5.5,,7,26.53 s,10,526 kg,9,0 reps,0,4 in 29.76 s,2
6,A. Bishop,GBR,31,172 kg,2,,5,19.38 m,5,490 kg,8,3 reps,7,5 in 50.28 s,4
7,L. Stoltman,GBR,30.5,206 kg,10,,4,18.87 m,3,422 kg,3,2 reps,4.5,5 in 37.18 s,6
8,M. Boudreault,CAN,29.5,200 kg,8,,1,33.86 s,9,376 kg,2,2 reps,4.5,5 in 45.58 s,5
9,K. Faires,USA,27,191 kg,5.5,,2,34.63 s,8,445 kg,4,2 reps,4.5,4 in 22.69 s,3
10,T. Hollands,GBR,5,No lift,0,,3,18.85 m,2,Withdrew,0,Withdrew,0,Withdrew,0
