#,Competitor,Country,TOT. PTS,Max Log Lift,Pts,Super Yoke,Pts,Bag Over Bar,Pts,Squat Lift,Pts,Max Deadlift,Pts,Medley,Pts,Dumbbell Press,Pts,Atlas Stones,Pts
1,T. Mitchell,USA,104.5,206 kg,15.5,,15,6 bags,11,16 reps,14,499 kg,13,0.00 m (vertical lift),5,6 reps,15,5 in 28.04 s,16
2,B. Shaw,USA,101.5,181 kg,7.5,32.84 s,13,8 in 54.21 s,15,16 reps,14,476 kg,11,74.85 s,14,4 reps,12,5 in 33.09 s,15
3,J. Caron,CAN,99,191 kg,12.5,,8,8 in 64.00 s,14,16 reps,14,524 kg,15.5,78.84 s,13,5 reps,14,4 stones,8
4,K. Faires,USA,83,181 kg,7.5,,6,4 bags,6,20 reps,16,431 kg,7.5,73.00 s,15,4 reps,12,5 in 36.60 s,13
5,E. Singleton,USA,80,181 kg,7.5,30.61 s,16,6 bags,11,(Did not attempt),0,431 kg,7.5,58.71 s,16,7 reps,16,3 in 25.62 s,6
6,B. Thompson,USA,75.5,206 kg,15.5,,12,5 bags,8.5,12 reps,10,454 kg,9.5,0.13 m (vertical lift),6,3 reps,10,3 stones,4
7,A. Bishop,GBR,74,181 kg,7.5,,7,3 bags,4,15 reps,12,524 kg,15.5,0.41 m (vertical lift),8.5,2 reps,8.5,4 in 24.51 s,11
8,M. Boudreault,CAN,70,181 kg,7.5,DNF,4,8 in 28.25 s,16,12 reps,10,(No lift),0,1.32 m (vertical lift),10,2 reps,8.5,5 in 35.12 s,14
9,A. Šmaukstelis,LAT,69,181 kg,7.5,,10,6 bags,11,0 reps,0,408 kg,5.5,1.63 m (vertical lift),11,4 reps,12,5 in 38.52 s,12
10,K. Janashia,GEO,60,181 kg,7.5,31.46 s,14,5 bags,8.5,8 reps,8,454 kg,9.5,2 sacks,3.5,(Did not attempt),0,4 stones,9
11,G. Hicks,GBR,56.5,200 kg,14,DNF,5,4 bags,6,0 reps,0,499 kg,13,0.41 m (vertical lift),8.5,0 reps,0,4 in 28.90 s,10
12,Ž. Savickas,LTU,36,191 kg,12.5,33.84 s,11,2 bags,2.5,12 reps,10,(Withdrew),0,(Withdrew),0,(Withdrew),0,(Withdrew),0
13,G. Rhéaume,CAN,32,(No lift),0,,9,1 bag,1,6 reps,7,(No lift),0,2.79 m (vertical lift),12,0 reps,0,2 in 12.54 s,3
14,G. Peña,USA,29.5,(No lift),0,0 m,0,4 bags,6,(Did not attempt),0,499 kg,13,2 sacks,3.5,(Did not attempt),0,3 in 24.76 s,7
15,J. Pritchett,USA,23,(No lift),0,DNF,3,2 bags,2.5,(Did not attempt),0,408 kg,5.5,0.28 m (vertical lift),7,(Did not attempt),0,3 in 38.50 s,5
16,M. Shivlyakov,RUS,22.5,181 kg,7.5,DNF,2,7 bags,13,(Withdrew),0,(Withdrew),0,(Withdrew),0,(Withdrew),0,(Withdrew),0
