#,Competitor,Country,TOT. PTS,Max Deadlift,Pts,Bag Over Bar,Pts,Super Yoke,Pts,Dumbbell Press,Pts,Log Lift,Pts,Medley,Pts,Leg Press,Pts,Atlas Stones,Pts
1,T. Mitchell,USA,100.5,499 kg,13,8 bags,15,17.07 s,12,6 reps,14,2 reps (200 kg),15,DNF,4,5 reps,12.5,5 in ~25.0 s,15
2,B. Shaw,USA,99.5,431 kg,8.5,8 bags,14,18.56 s,10,5 reps,12,2 reps (186 kg),14,30.62 s,12,8 reps,15,5 in ~29.2 s,14
3,M. Hooper,CAN,95,476 kg,11,5 bags,7,11.06 s,15,5 reps,12,1 rep (186 kg),13,39.68 s,10,7 reps,14,5 in 35.77 s,13
4,O. Novikov,UKR,79,549 kg,15,6 bags,11,16.49 s,13,8 reps,15,1 rep (186 kg),11,DNF,3,1 rep,7,3 stones,4
5,M. Boudreault,CAN,70,(No lift),0,7 bags,13,43.21 s,4,2 reps,6.5,1 rep (186 kg),12,24.29 s,15,2 reps,8.5,4 in ~17.3 s,11
6,K. Faires,USA,68,431 kg,8.5,2 bags,3,22.70 s,7,2 reps,6.5,2 reps (172 kg),9,27.65 s,13,4 reps,11,4 in ~25.3 s,10
7,A. Šmaukstelis,LAT,67.5,408 kg,5,6 bags,12,22.40 s,8,3 reps,8.5,2 reps (172 kg),10,DNF,6,3 reps,10,4 in ~34.7 s,8
8,E. Singleton,USA,59.5,408 kg,5,5 bags,8,17.59 s,11,4 reps,10,0 reps,0,26.32 s,14,2 reps,8.5,1 stone,3
9,K. Janashia,GEO,52,476 kg,11,6 bags,9,15.67 s,14,0 reps,0,0 reps,0,44.30 s,9,0 reps,0,4 in ~27.1 s,9
10,Ž. Savickas,LTU,49.5,408 kg,5,3 bags,5,27.10 s,6,(Did not attempt),0,1 rep (172 kg),8,DNF,7,5 reps,12.5,3 stones,6
11,B. Thompson,USA,42,476 kg,11,6 bags,10,18.59 s,9,5 reps,12,0 reps,0,(Withdrew),0,(Withdrew),0,(Withdrew),0
12,G. Peña,USA,39,522 kg,14,4 bags,6,DNF,2,(Did not attempt),0,0 reps,0,DNF,5,(Did not attempt),0,5 in 42.99 s,12
13,G. Rhéaume,CAN,36.5,408 kg,5,2 bags,2,DNF,3,3 reps,8.5,0 reps,0,37.00 s,11,0 reps,0,4 in ~41.8 s,7
14,J. Pritchett,USA,27,408 kg,5,3 bags,4,27.20 s,5,(Did not attempt),0,0 reps,0,DNF,8,0 reps,0,3 stones,5
15,L. Stoltman,GBR,1,(No lift),0,2 bags,1,(Withdrew),0,(Withdrew),0,(Withdrew),0,(Withdrew),0,(Withdrew),0,(Withdrew),0
