#,Competitor,Country,TOT. PTS,Log Medley,Pts,Medley #1,Pts,Leg Press,Pts,Atlas Stones,Pts,Max Deadlift,Pts,Chest Press,Pts,Bag Over Bar,Pts,Medley #2,Pts
1,B. Shaw,USA,96,2 reps (186 kg),11,70.99 s Finished,11,14 reps,14,5 stones,13,476 kg,11,9 reps,14,8 implements,12,10 stairs,10
2,M. Hooper,CAN,89,2 reps (200 kg),12,62.29 s Finished,13,13 reps,12.5,5 stones,12,476 kg,11,7 reps,10.5,6 implements,9,8 stairs,9
3,T. Stoltman,GBR,82,(No lift),0,Finished,10,10 reps,9,5 stones,14,499 kg,14,6 reps,7,8 implements,14,10 stairs,14
4,E. Singleton,USA,77.5,1 rep (186 kg),9,68.00 s Finished,12,12 reps,11,3 stones,4,431 kg,7,7 reps,10.5,7 implements,11,10 stairs,13
5,T. Mitchell,USA,73,2 reps (200 kg),14,DNF Pull,6,13 reps,12.5,5 stones,11,476 kg,11,6 reps,7,6 implements,6,6 stairs,5.5
6,T. Evans,USA,64,2 reps (186 kg),10,Finished,9,5 reps,4,4 stones,6,431 kg,7,8 reps,13,6 implements,7,7 stairs,8
7,B. Thompson,USA,62,2 reps (200 kg),13,DNF Pull,4,11 reps,10,0 stones,0,476 kg,11,7 reps,10.5,6 implements,8,6 stairs,5.5
8,M. Boudreault,CAN,57,1 rep (186 kg),8,60.55 s Finished,14,1 rep,1,5 stones,7,(No lift),0,4 reps,3,8 implements,13,10 stairs,11
9,K. Faires,USA,49,2 reps (172 kg),7,DNF Pull,7,9 reps,8,3 stones,3,408 kg,4,7 reps,10.5,4 implements,4,6 stairs,5.5
10,O. Novikov,UKR,44,1 rep (172 kg),6,Finished,8,8 reps,7,4 stones,5,476 kg,11,4 reps,3,4 implements,2,1 stair,2
11,G. Bilton,GBR,43,(No lift),0,DNF Pull,5,7 reps,6,5 stones,9,431 kg,7,4 reps,3,7 implements,10,5 stairs,3
12,A. Å maukstelis,LAT,41,(No lift),0,DNF Pull,3,5 reps,4,5 stones,10,408 kg,4,5 reps,5,4 implements,3,10 stairs,12
13,L. Stoltman,GBR,32.5,(No lift),0,DNF Barrow,1,4 reps,2,5 stones,8,408 kg,4,6 reps,7,6 implements,5,6 stairs,5.5
14,A. Bishop,GBR,8,(No lift),0,DNF Pull,2,5 reps,4,3 stones,2,(Withdrew),0,(Withdrew),0,(Withdrew),0,(Withdrew),0
