#,Competitor,Country,TOT. PTS,Super Yoke,Pts,Max Deadlift,Pts,Tire Flip,Pts,Axle Press,Pts,Atlas Stones,Pts
1,L. Shahlaei,GBR,52,12.87 s,12,420 kg,11,30.03 s,9,2 in 69.25 s,11,4 in 19.34 s,9
2,G. Szymański,POL,42.5,12.96 s,11,400 kg,6.5,26.62 s,11,1 in 10.19 s,8,4 in 24.29 s,6
3,M. Shivlyakov,RUS,42,20.57 s,7,420 kg,11,23.85 s,12,1 in 10.58 s,7,4 in 33.18 s,5
4,T. Stoltman,GBR,40,24.57 s,4,380 kg,5,29.53 s,10,1 in 9.99 s,9,5 in 33.44 s,12
5,K. Janashia,GEO,38,15.75 s,9,420 kg,11,31.00 s,7,1 in 68.64 s,4,4 in 22.35 s,7
6,T. Hollands,GBR,36.5,14.72 s,10,400 kg,8.5,30.69 s,8,(No lift),0,4 in 17.03 s,10
7,Ž. Savickas,LTU,33.5,20.85 s,6,360 kg,3.5,32.24 s,6,1 in 9.60 s,10,4 in 20.28 s,8
8,C. Sanou,BUR,31.5,17.29 s,8,360 kg,3.5,41.69 s,4,2 in 29.76 s,12,3 in 15.23 s,4
9,E. Dawson,USA,26,21.67 s,5,(No lift),0,37.79 s,5,1 in 13.04 s,5,5 in 62.24 s,11
10,M. Leicht,DEN,22.5,25.98 s,2,400 kg,8.5,50.79 s,3,1 in 11.97 s,6,3 in 18.52 s,3
11,R. Gordzielik,GER,11.5,25.43 s,3,400 kg,6.5,6 flips,2,(No lift),0,(No lift),0
12,E. Hall,GBR,1,1.75 m,1,(Withdrew),0,(Withdrew),0,(Withdrew),0,(Withdrew),0
