#,Competitor,Country,TOT. PTS,Tire Flip,Pts,Max Log Lift,Pts,Farmer's Walk,Pts,Deadlift,Pts,Atlas Stones,Pts
1,M. Licis,USA,41,31.59 s,6,180 kg,6,9.66 s,9,15 reps,10,5 in 25.70 s,10
2,M. Kieliszkowski,POL,39.5,30.65 s,8,200 kg,9.5,9.30 s,10,8 reps,3,5 in 26.38 s,9
3,Å½. Savickas,LTU,36.5,26.70 s,10,180 kg,6,11.38 s,6,11 reps,6.5,4 in 18.29 s,8
4,T. Hollands,GBR,33,30.89 s,7,160 kg,3,9.94 s,7,13 reps,9,4 in 19.40 s,7
5,N. Hadge,USA,30,36.80 s,5,160 kg,3,9.89 s,8,12 reps,8,4 in 22.30 s,6
6,M. BelÅ¡ak,SLO,29.5,29.88 s,9,190 kg,8,49.67 s,4,10 reps,4.5,4 in 70.07 s,4
7,G. Hicks,GBR,26,41.67 s,4,200 kg,9.5,6.45 m,3,11 reps,6.5,3 in 14.99 s,3
8,C. Gough,GBR,20.5,50.08 s,3,160 kg,3,27.03 s,5,10 reps,4.5,4 in 31.78 s,5
9,D. Savatinov,BUL,12,55.75 s,2,180 kg,6,2.92 m,2,6 reps,2,(Withdrew),0
10,D. Poundstone,USA,1,2 flips,1,(No lift),0,(Withdrew),0,(Withdrew),0,(Withdrew),0
