#,Competitor,Country,TOT. PTS,Barrel Lift,Pts,Bar Bend,Pts,Caber Toss,Pts,Max Deadlift,Pts,Wheelbarrow Carry,Pts,Max Squat,Pts,Vertical Lift,Pts,Tram Pull,Pts,Fridge Carry,Pts,Tug of War,Pts
1,D. Reinhoudt,USA,60.4,,10,,1,,0,,7,,7,,10,,1.4,,10,,7,,7
2,L. Hedlund,SWE,45.6,,5.5,,2,,4,,0.6,,2,,2,,8.5,,7,,10,,4
3,B. Kazmaier,USA,44.9,,5.5,,4,,7,,10,,10,,4,,1.4,,0,,2,,1
4,J. Kolb,USA,41.43,,0.33,,10,,10,,0.6,,1,,0,,8.5,,1,,0,,10
5,B. Young,USA,22.33,,0.33,,0,,2,,4,,4,,7,,0,,4,,1,,0
6,C. Dean,USA,15,,0,,7,,0,,0.6,,0,,0,,1.4,,2,,4,,0
7,J. Dube,USA,5,,2,,0,,0,,0.6,,0,,1,,1.4,,0,,0,,0
8,D. Johns,USA,2,,0,,0,,0,,0.6,,0,,0,,1.4,,0,,0,,0
9,B. Anderson,GBR,1.33,,0.33,,0,,1,,0,,0,,0,,0,,0,,0,,0
10,J. Blackwell,USA,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
