#,Competitor,Country,TOT. PTS,Truck Pull,Pts,Max Deadlift,Pts,Loading Race,Pts,Rock Press,Pts,Weight Throw,Pts,Front Hold,Pts,Plane Pull,Pts,Húsafell Stone,Pts
1,T. van der Parre,NED,63,,10,,2.5,5 in 74.86 s,8,,6.5,5 m,10,59.24 s,10,37.42 s,9,,7
2,M. Ver Magnússon,ISL,62,,7,452.5 kg,9,5 in 62.49 s,10,130 kg,10,,6,40.64 s,4,34.34 s,10,,6
3,J. Reeves,ENG,62,,8,425 kg,6.5,5 in 146.00 s,6,120 kg,8.5,4.9 m,9,51.56 s,8,38.40 s,7,,9
4,G. Badenhorst,RSA,57.5,,6,465 kg,10,5 in 88.00 s,7,120 kg,8.5,4.9 m,7,51.21 s,7,42.36 s,4,,8
5,G. Taylor,WAL,43.5,,3,,4,4 implements,3,,3.5,4.9 m,8,54.24 s,9,38.10 s,8,,5
6,H. Thorsen,DEN,41,,4.5,,2.5,5 in 72.60 s,9,,6.5,,4.5,40.99 s,5,,5,,4
7,G. Ernst,CAN,38,,4.5,425 kg,6.5,,5,,3.5,,4.5,23.13 s,2,,2,,10
8,I. Nummisto,FIN,29,,2,425 kg,6.5,,2,,1,,2.5,41.69 s,6,,6,,3
9,J. Perry,USA,25,,9,425 kg,6.5,,1,,3.5,,1,,1,,1,,2
10,I. Kinnunen,FIN,19,,1,,1,,4,,3.5,,2.5,30.24 s,3,,3,,1
