#,Competitor,Country,TOT. PTS,Super Yoke,Pts,Max Deadlift,Pts,Arm Over Arm Pull,Pts,Atlas Stones,Pts,Plane Pull,Pts,Viking Press,Pts,Medley,Pts
1,J. Ahola,FIN,60,21.34 s,9,380 kg,10,36.20 s,6,5 in 43.65 s,9,40.44 s,9,14 reps,8,43.65 s,9
2,J. Virtanen,FIN,53,23.43 s,8,320 kg,6,33.81 s,8,5 in 45.59 s,8,39.48 s,10,9 reps,6,47.03 s,7
3,S. Karlsen,NOR,52.5,20.12 s,10,375 kg,9,35.88 s,7,4 in 25.63 s,5,43.78 s,7,8 reps,4.5,41.00 s,10
4,H. Girard,CAN,49.5,23.71 s,7,320 kg,3.5,32.27 s,9,4 in 37.32 s,4,43.42 s,8,17 reps,10,46.91 s,8
5,M. Samuelsson,SWE,47,25.22 s,6,320 kg,6,31.62 s,10,5 in 57.03 s,7,44.66 s,5,15 reps,9,9.72 m,4
6,B. Veneberg,NED,41,41.38 s,5,370 kg,8,44.56 s,5,5 in 61.82 s,6,47.66 s,4,11 reps,7,56.00 s,6
7,T. Ã“lafsson,ISL,29.5,41.49 s,4,320 kg,6,44.62 s,4,4 in 37.72 s,3,44.53 s,6,8 reps,4.5,9.5 m,2
8,L. Fekete,HUN,23,10.91 m,2,300 kg,2,57.88 s,2,5 in 43.13 s,10,24.5 m,2,1 rep,2,9.65 m,3
9,J. Barr,SCO,22.5,24.2 m,3,320 kg,3.5,54.04 s,3,2 in 63.09 s,2,59.63 s,3,6 reps,3,77.40 s,5
10,R. Minkwitz,DEN,1,1.8 m,1,Withdrew,0,Withdrew,0,Withdrew,0,Withdrew,0,Withdrew,0,Withdrew,0
