#,Competitor,Country,TOT. PTS,Carry & Flip,Pts,Squat Lift,Pts,Farmer's Walk,Pts,Log Lift,Pts,Vertical Lift,Pts,Conan's Wheel,Pts,Atlas Stones,Pts
1,S. Karlsen,NOR,53.5,40.75 s,9,10 reps,10,49.78 s,5,7 reps,7.5,14.11 s,9,821 °,8,4 in 34.28 s,5
2,M. Samuelsson,SWE,51.5,40.63 s,10,0 reps,2.5,39.81 s,8,10 reps,9,20.32 s,5,805 °,7,5 in 28.00 s,10
3,J. Virtanen,FIN,50,40.81 s,8,4 reps,6,38.50 s,9,6 reps,5,13.27 s,10,739 °,5,4 in 24.99 s,7
4,P. Pfister,USA,46,34.5 m,2,0 reps,2.5,32.22 s,10,7 reps,7.5,16.11 s,6,1144 °,10,5 in 41.03 s,8
5,M. Muhr,GER,40,60.80 s,3,6 reps,7,74.6 m,3,4 reps,2,15.66 s,7,937 °,9,5 in 39.11 s,9
6,H. Girard,CAN,38.5,43.60 s,7,9 reps,8.5,71.3 m,2,11 reps,10,44.20 s,3,425 °,2,4 in 29.40 s,6
7,J. Dymek,POL,30,50.00 s,5,1 rep,5,57.50 s,4,5 reps,3,25.87 s,4,777 °,6,1 in 23.75 s,3
8,W. Zijlstra,NED,28.5,44.45 s,6,0 reps,2.5,41.49 s,7,6 reps,5,1.1 m,1,501 °,3,4 in 35.17 s,4
9,J. Räsänen,FIN,25.5,53.25 s,4,0 reps,2.5,49.77 s,6,3 reps,1,14.39 s,8,643 °,4,(Withdrew),0
10,A. Raynes,GBR,18.5,32 m,1,9 reps,8.5,43.8 m,1,6 reps,5,1.7 m,2,240 °,1,(Withdrew),0
