#,Competitor,Country,TOT. PTS,Flip & Drag,Pts,Farmer's Walk,Pts,Squat Lift,Pts,Truck Pull,Pts,Shield Carry,Pts,Deadlift,Pts,Atlas Stones,Pts
1,M. Pudzianowski,POL,58,39.01 s,10,33.95 s,10,4 reps,5,44.38 s,9,127.4 m,10,8 reps,6,5 in 55.40 s,8
2,Ž. Savickas,LTU,50,46.55 s,9,44.28 s,8,6 reps,6.5,43.97 s,10,81 m,5,9 reps,8.5,4 in 54.75 s,3
3,R. Bergmanis,LAT,47.5,27 m,3,50.37 s,7,6 reps,6.5,64.56 s,3,107.75 m,8,11 reps,10,5 in 41.05 s,10
4,J. Perry,USA,42,22.1 m,1,53.96 s,6,9 reps,8,46.21 s,6,81.9 m,6,8 reps,6,5 in 43.86 s,9
5,S. Karlsen,NOR,39,28.5 m,4,72.6 m,3,14 reps,10,46.00 s,7,79.6 m,4,8 reps,6,4 in 30.28 s,5
6,J. Räsänen,FIN,38.5,24.9 m,2,40.07 s,9,3 reps,4,27.4 m,2,112.35 m,9,9 reps,8.5,4 in 32.65 s,4
7,H. Girard,CAN,38.5,29.9 m,5,55.06 s,4,12 reps,9,44.84 s,8,68.55 m,2,6 reps,3.5,4 in 28.11 s,7
8,G. Edmunds,SCO,27.5,61.03 s,7,30 m,1,1 rep,2.5,61.06 s,4,107.5 m,7,0 reps,0,4 in 29.62 s,6
9,J. Dymek,POL,24.5,69.35 s,6,54.34 s,5,0 reps,0,52.03 s,5,70.35 m,3,6 reps,3.5,3 in 23.97 s,2
10,M. Samuelsson,SWE,12.5,51.96 s,8,70 m,2,1 rep,2.5,Withdrew,0,Withdrew,0,Withdrew,0,Withdrew,0
