#,Competitor,Country,TOT. PTS,Loading Race,Pts,Safe Lift,Pts,Fingal's Fingers,Pts,Deadlift,Pts,Truck Pull,Pts,Car Walk,Pts,Atlas Stones,Pts
1,M. Pudzianowski,POL,59,4 in 37.22 s,10,15 reps,9,5 in 31.15 s,9,10 reps,9,41.53 s,9,14.62 s,10,5 in 31.09 s,3
2,S. Wenta,POL,54,4 in 63.63 s,6,17 reps,10,5 in 30.92 s,10,1 rep,3,51.93 s,7,20.01 s,8,5 in 18.75 s,10
3,T. Hollands,ENG,52,4 in 43.73 s,9,3 reps,3,5 in 40.36 s,4,8 reps,8,41.41 s,10,19.50 s,9,5 in 19.58 s,9
4,P. Pfister,USA,46,4 in 47.81 s,7,12 reps,8,5 in 31.78 s,8,2 reps,4,53.93 s,6,23.75 s,6,5 in 20.83 s,7
5,M. Samuelsson,SWE,39,3 in 62.25 s,5,11 reps,7,5 in 36.86 s,5,4 reps,5,48.01 s,8,27.69 s,4,5 in 23.83 s,5
6,D. Ostlund,USA,38,4 in 44.10 s,8,1 rep,2,5 in 34.17 s,7,5 reps,6,22.74 m,4,28.84 s,3,5 in 19.88 s,8
7,M. Felix,ENG,33.5,1 in 73.05 s,2,7 reps,4.5,4 in 35.30 s,3,11 reps,10,16.14 m,3,22.18 s,7,5 in 24.85 s,4
8,K. Nee,USA,31,1 in 69.57 s,3,10 reps,6,3 in 26.28 s,2,7 reps,7,15.1 m,2,24.09 s,5,5 in 22.10 s,6
9,D. Pope,USA,21.5,3 in 63.47 s,4,7 reps,4.5,5 in 36.27 s,6,0 reps,0,22.85 m,5,34.09 s,2,Withdrew,0
10,T. Mitt,EST,0,0 in 75.00 s,0,Withdrew,0,Withdrew,0,Withdrew,0,Withdrew,0,Withdrew,0,Withdrew,0
