#,Competitor,Country,TOT. PTS,Power Stairs,Pts,Car Walk,Pts,Fingal's Fingers,Pts,Deadlift,Pts,Log Lift,Pts,Plane Pull,Pts,Atlas Stones,Pts
1,M. Pudzianowski,POL,58.5,40.94 s,10,16.70 s,6,5 in 41.38 s,6,10 reps,9.5,10 reps,9,36.67 s,10,5 in 24.40 s,8
2,D. Poundstone,USA,53.5,54.33 s,9,15.12 s,8,5 in 37.18 s,7,10 reps,9.5,11 reps,10,38.67 s,8,5 in 30.44 s,2
3,D. Ostlund,USA,49.5,71.81 s,8,14.23 s,9,5 in 34.91 s,10,7 reps,7.5,4 reps,2,49.09 s,4,5 in 22.70 s,9
4,P. Pfister,USA,44.5,13 stairs,6.5,13.12 s,10,5 in 36.01 s,9,2 reps,2,6 reps,4,37.66 s,9,5 in 26.01 s,4
5,T. Ortmayer,USA,39.5,12 stairs,4,16.37 s,7,5 in 44.96 s,5,7 reps,7.5,7 reps,6,50.00 s,3,5 in 25.54 s,7
6,S. Wenta,POL,38,12 stairs,4,18.46 s,5,5 in 37.02 s,8,2 reps,2,8 reps,8,49.04 s,5,5 in 25.87 s,6
7,T. Mitt,EST,30.5,13 stairs,6.5,15.7 m,2,4 in 29.58 s,1,3 reps,4,7 reps,6,40.19 s,6,5 in 25.89 s,5
8,A. Haugen,NOR,26,12 stairs,4,15.5 m,1,5 in 73.98 s,2,5 reps,5,5 reps,3,21.8 m,1,5 in 19.85 s,10
9,J. Bergmann,USA,25,11 stairs,2,26.23 s,4,5 in 50.57 s,4,6 reps,6,7 reps,6,51.04 s,2,5 in 34.41 s,1
10,T. Hollands,ENG,19,8 stairs,1,30.38 s,3,5 in 66.88 s,3,2 reps,2,0 reps,0,38.69 s,7,5 in 28.59 s,3
