#,Competitor,Country,TOT. PTS,Fingal's Fingers,Pts,Farmer's Walk,Pts,Plane Pull,Pts,Axle Press,Pts,Arm Over Arm Pull,Pts,Deadlift,Pts,Atlas Stones,Pts
1,Ž. Savickas,LTU,58,5 in 28.69 s,10,36.20 s,7,40.24 s,9,9 reps,10,62.94 s,3,11 reps,10,5 in 24.63 s,9
2,M. Pudzianowski,POL,53,5 in 36.47 s,5,25.05 s,10,40.91 s,6,8 reps,8.5,39.38 s,9,9 reps,8.5,5 in 26.57 s,6
3,B. Shaw,USA,49,5 in 32.37 s,8,48.80 s,4,40.53 s,7.5,6 reps,6,32.44 s,10,8 reps,6.5,5 in 25.62 s,7
4,D. Poundstone,USA,46,5 in 35.38 s,6,31.63 s,9,41.12 s,5,8 reps,8.5,62.06 s,4,9 reps,8.5,5 in 27.03 s,5
5,T. Ortmayer,USA,45.5,5 in 34.85 s,7,45.05 m,1,40.53 s,7.5,7 reps,7,45.88 s,8,7 reps,5,5 in 24.29 s,10
6,T. Hollands,ENG,41,5 in 43.07 s,3,37.13 s,5,38.19 s,10,2 reps,1.5,47.07 s,7,8 reps,6.5,5 in 25.22 s,8
7,P. Pfister,USA,28.5,5 in 37.57 s,4,36.86 s,6,42.56 s,4,5 reps,4.5,50.89 s,6,0 reps,0,5 in 28.67 s,4
8,D. Ostlund,USA,25,5 in 32.08 s,9,72.37 s,2,45.53 s,3,4 reps,3,66.14 s,2,5 reps,3,5 in 32.13 s,3
9,L. Shahlaei,ENG,23.5,4 in 38.03 s,2,33.54 s,8,45.54 s,2,2 reps,1.5,51.13 s,5,6 reps,4,4 in 28.03 s,1
10,L. Jean,CAN,14.5,4 in 44.11 s,1,50.45 s,3,46.69 s,1,5 reps,4.5,12.3 m,1,3 reps,2,5 in 51.47 s,2
