#,Competitor,Country,TOT. PTS,Frame Carry,Pts,Truck Pull,Pts,Super Yoke,Pts,Max Deadlift,Pts,Overhead Medley,Pts,Atlas Stones,Pts
1,B. Shaw,USA,51,25.7 m,6,41.23 s,9,13.64 s,10,442.5 kg,10,2 in 19.56 s,7,5 in 24.82 s,9
2,Ž. Savickas,LTU,48,19.7 m,5,45.81 s,7,14.16 s,9,420 kg,9,4 in 43.53 s,10,5 in 25.63 s,8
3,H. Björnsson,ISL,42,43.47 s,7,40.19 s,10,17.77 s,5,400 kg,7,1 in 23.51 s,3,5 in 23.31 s,10
4,M. Jenkins,USA,41,20.14 s,10,49.77 s,4,16.94 s,6,400 kg,7,3 in 43.56 s,8,5 in 31.10 s,6
5,M. Burke,USA,38.5,21.30 s,9,46.95 s,5,19.03 s,4,370 kg,4.5,4 in 68.17 s,9,5 in 27.16 s,7
6,V. Lalas,LTU,34,15.9 m,4,45.92 s,6,16.57 s,7,400 kg,7,2 in 28.00 s,6,5 in 48.80 s,4
7,T. Hollands,ENG,31.5,36.71 s,8,42.47 s,8,16.51 s,8,370 kg,4.5,0 in 75.00 s,0,4 in 35.66 s,3
8,J. Årsjö,SWE,16,0.4 m,1,50.21 s,3,29.35 s,2,No lift,0,2 in 34.36 s,5,5 in 35.27 s,5
9,R. Oberst,USA,14,15 m,3,54.98 s,2,22.16 s,3,No lift,0,2 in 47.83 s,4,4 in 38.76 s,2
10,M. Koklyaev,RUS,2,12.7 m,2,Withdrew,0,Withdrew,0,Withdrew,0,Withdrew,0,Withdrew,0
