#,Competitor,Country,TOT. PTS,Loading Race,Pts,Overhead Medley,Pts,Keg Toss,Pts,Truck Pull,Pts,Squat Lift,Pts,Atlas Stones,Pts
1,Ž. Savickas,LTU,64,3 in 38.49 s,11,4 in 26.42 s,12,8 in 30.42 s,9,44.15 s,9,15 reps,12,5 in 23.53 s,11
2,H. Björnsson,ISL,63.5,3 in 36.07 s,12,4 in 28.46 s,11,8 in 16.35 s,12,42.12 s,11,7 reps,5.5,5 in 19.46 s,12
3,B. Shaw,USA,61,3 in 44.18 s,9,4 in 29.02 s,10,8 in 16.59 s,11,40.56 s,12,10 reps,9,5 in 23.94 s,10
4,M. Burke,USA,46,3 in 41.85 s,10,4 in 30.58 s,9,8 in 28.94 s,10,53.51 s,7,3 reps,4,5 in 36.92 s,6
5,T. Hollands,ENG,38,3 in 52.34 s,6,1 in 52.15 s,4,6 in 60.00 s,6,43.35 s,10,2 reps,3,5 in 28.47 s,9
6,E. Hall,ENG,32,3 in 57.07 s,1,3 in 40.17 s,7,6 in 60.00 s,6,21.4 m,3,14 reps,11,5 in 38.32 s,4
6,D. Ostlund,USA,32,3 in 49.66 s,8,0 in 60.00 s,0,6 in 60.00 s,6,50.10 s,8,1 rep,2,5 in 32.67 s,8
8,W. Brant,AUS,28.5,3 in 54.20 s,4,1 in 26.50 s,5,6 in 60.00 s,6,17.3 m,1,8 reps,7.5,5 in 37.02 s,5
9,J. Pritchett,USA,26,3 in 53.23 s,5,0 in 60.00 s,0,4 in 60.00 s,2,19.1 m,2,11 reps,10,5 in 34.68 s,7
10,L. Shahlaei,ENG,25.5,3 in 55.92 s,2,4 in 57.44 s,8,4 in 60.00 s,2,23.1 m,5,8 reps,7.5,3 in 23.44 s,1
11,J. Caron,CAN,22.5,3 in 55.60 s,3,3 in 46.30 s,6,4 in 60.00 s,2,22.7 m,4,7 reps,5.5,5 in 47.04 s,2
12,M. Wildauer,AUT,22,3 in 51.38 s,7,0 in 60.00 s,0,6 in 60.00 s,6,24.2 m,6,0 reps,0,5 in 38.85 s,3
