#,Competitor,Country,TOT. PTS,Super Yoke,Pts,Deadlift,Pts,Truck Pull,Pts,Power Stairs,Pts,Max Log Lift,Pts,Atlas Stones,Pts
1,B. Shaw,USA,53,18.82 s,9,8 reps,10,23.84 m,10,37.81 s,8,180 kg,6,5 in 24.51 s,10
2,Ž. Savickas,LTU,49.5,24.84 s,8,5 reps,6.5,22.88 m,9,33.97 s,10,205 kg,10,4 in 21.32 s,6
3,H. Björnsson,ISL,49,17.09 s,10,6 reps,8,20.83 m,8,35.37 s,9,180 kg,6,5 in 31.73 s,8
4,E. Hall,GBR,45.5,27.28 s,7,7 reps,9,20.25 m,7,13 stairs,5,195 kg,8.5,5 in 24.84 s,9
5,M. Burke,USA,34.5,30.74 s,6,1 rep,2.5,20.09 m,6,40.68 s,7,180 kg,6,5 in 50.23 s,7
6,J. Caron,CAN,31,39.02 s,5,5 reps,6.5,17.82 m,5,14 stairs,6,165 kg,3.5,3 in 17.85 s,5
7,D. Savatinov,BUL,22,19.1 m,4,1 rep,2.5,15.85 m,3,1 stair,1,195 kg,8.5,2 in 18.20 s,3
8,M. Felix,GBR,17.5,15.8 m,3,3 reps,4.5,15.72 m,2,10 stairs,4,No lift,0,3 in 22.72 s,4
9,M. Shivlyakov,RUS,13,3.8 m,1,0 reps,0,16.05 m,4,9 stairs,2.5,165 kg,3.5,2 in 22.80 s,2
10,J. Pritchett,USA,10,8.9 m,2,3 reps,4.5,13.08 m,1,9 stairs,2.5,No lift,0,0 in 60.00 s,0
