#,Competitor,Country,TOT. PTS,Frame Carry,Pts,Circus Barbell,Pts,Max Deadlift,Pts,Plane Pull,Pts,Kettlebell Toss,Pts,Atlas Stones,Pts
1,B. Shaw,USA,53,28.25 s,8,7 reps,7.5,445 kg,9.5,24.53 m,9,6 in 34.97 s,10,5 in 28.02 s,9
2,H. BjÃ¶rnsson,ISL,51,51.29 s,6,8 reps,9.5,420 kg,6.5,24.9 m,10,6 in 40.22 s,9,5 in 26.80 s,10
3,E. Hall,GBR,43,0.2 m,1,8 reps,9.5,445 kg,9.5,24.45 m,8,5 in 56.92 s,7,5 in 29.68 s,8
4,K. Janashia,GEO,40,22.82 s,9,7 reps,7.5,420 kg,6.5,24.06 m,7,5 in 59.50 s,6,4 in 29.92 s,4
5,J. Caron,CAN,29.5,21.1 m,3,4 reps,3.5,435 kg,8,21.73 m,2,5 in 31.88 s,8,4 in 29.79 s,5
6,M. Licis,USA,28.5,41.29 s,7,6 reps,6,400 kg,4.5,22.53 m,4,0 in 60.00 s,0,5 in 34.80 s,7
7,M. Kieliszkowski,POL,27.5,17.69 s,10,5 reps,5,375 kg,2.5,22.14 m,3,4 in 34.28 s,4,4 in 32.38 s,3
8,G. SzymaÅ„ski,POL,25.5,52.93 s,5,2 reps,2,375 kg,2.5,23.35 m,5,4 in 22.78 s,5,4 in 24.19 s,6
9,M. BelÅ¡ak,SLO,21,1.3 m,2,4 reps,3.5,400 kg,4.5,23.55 m,6,3 in 49.61 s,3,4 in 37.12 s,2
10,L. Shahlaei,GBR,4,24.3 m,4,Withdrew,0,Withdrew,0,Withdrew,0,Withdrew,0,Withdrew,0
