#,Competitor,Country,TOT. PTS,Shield Carry,Pts,Deadlift,Pts,Fingal's Fingers,Pts,Max Dumbbell,Pts,Bus Pull,Pts,Atlas Stones,Pts
1,M. Hooper,CAN,53.5,64.8 m,10,8 reps,10,5 in 49.89 s,5,140 kg,9.5,30.24 s,10,5 in 36.96 s,9
2,T. Stoltman,GBR,49,63.15 m,9,6 reps,5,5 in 39.36 s,10,132 kg,6.5,32.27 s,8.5,5 in 33.26 s,10
3,O. Novikov,UKR,41,55.87 m,8,7 reps,7.5,5 in 42.26 s,9,132 kg,6.5,33.35 s,3,4 in 27.43 s,7
4,T. Mitchell,USA,39.5,50.83 m,7,7 reps,7.5,5 in 48.46 s,8,125 kg,3,32.49 s,6,5 in 45.72 s,8
5,E. Singleton,USA,39.5,48.3 m,6,5 reps,3.5,5 in 49.85 s,6,140 kg,9.5,32.27 s,8.5,4 in 28.16 s,6
6,P. Kordiyaka,UKR,31.5,46.59 m,5,4 reps,2,5 in 48.69 s,7,132 kg,6.5,32.46 s,7,4 in 45.86 s,4
7,B. Shaw,USA,27.5,39.1 m,3,7 reps,7.5,4 in 26.61 s,4,125 kg,3,32.65 s,5,4 in 35.88 s,5
8,L. Stoltman,GBR,21.5,44.62 m,4,3 reps,1,4 in 32.54 s,3,132 kg,6.5,32.83 s,4,4 in 48.49 s,3
9,M. Ragg,NZL,18.5,37.65 m,2,7 reps,7.5,4 in 35.03 s,2,125 kg,3,36.29 s,2,4 in 49.50 s,2
10,J. Schoonwinkel,RSA,5.5,15.92 m,1,5 reps,3.5,4 in 40.76 s,1,(No lift),0,(Withdrew),0,(Withdrew),0
