#,Competitor,Country,TOT. PTS,Deadlift,Pts,Super Yoke,Pts,Atlas Stones,Pts,Fingal's Fingers,Pts,Safe Lift,Pts,Conan's Wheel,Pts,Wrestling,Pts,Farmer's Walk,Pts,Carry & Drag,Pts,Squat Lift,Pts,Truck Pull,Pts
1,M. Pudzianowski,POL,55,6 in 38.83 s (vs Savickas),5,21.99 s (vs Girard),6,5 in 31.59 s (vs Minkwitz),6,5 in 57.79 s (vs Samuelsson),5,9 reps (vs Lotta),5,3.0 laps (vs Rollinson),6,1 bout (vs Virastyuk),2,29.98 s (vs Murumets),5,28.40 s (vs Bergmanis),6,4 in 19.94 s (vs Karlsen),3,34.34 s (vs Felix),6
1,V. Virastyuk,UKR,55,3 in 17.08 s (vs Felix),1,16.80 s (vs Minkwitz),6,5 in 33.87 s (vs Bergmanis),6,5 in 36.56 s (vs Karlsen),6,10 reps (vs Murumets),6,2.0 laps (vs Samuelsson),3,2 bouts (vs Pudzianowski),4,15.52 s (vs Savickas),6,24.25 s (vs Lotta),6,6 in 32.10 s (vs Rollinson),5,33.67 s (vs Turner),6
3,Ž. Savickas,LTU,54,5 in 28.77 s (vs Pudzianowski),3,17.56 s (vs Karlsen),5,5 in 44.38 s (vs Girard),5,5 in 39.95 s (vs Lotta),6,8 reps (vs Felix),5,2.0 laps (vs Bergmanis),3,3 bouts (vs Rollinson),6,37.49 s (vs Virastyuk),5,29.94 s (vs Murumets),5,7 in 34.31 s (vs Minkwitz),6,34.07 s (vs Samuelsson),5
4,R. Bergmanis,LAT,50,5 in 38.56 s (vs Girard),4,32.61 s (vs Felix),6,5 in 43.02 s (vs Virastyuk),5,4 in 48.93 s (vs Murumets),5,3 reps (vs Minkwitz),2,2.5 laps (vs Savickas),5,1.5 bouts (vs Lotta),3,38.03 s (vs Rollinson),6,30.29 s (vs Pudzianowski),5,4 in 25.51 s (vs Samuelsson),3,31.19 s (vs Karlsen),6
5,M. Samuelsson,SWE,49,3 in 27.77 s (vs Karlsen),1,28.1 m (vs Kirit),5,5 in 31.38 s (vs Lotta),6,5 in 46.25 s (vs Pudzianowski),6,8 reps (vs Rollinson),5,2.0 laps (vs Virastyuk),4,1.5 bouts (vs Turner),3,38.34 s (vs Minkwitz),6,31.25 s (vs Felix),6,3 in 16.38 s (vs Bergmanis),1,32.21 s (vs Savickas),6
6,S. Karlsen,NOR,48,4 in 21.93 s (vs Samuelsson),3,17.25 s (vs Savickas),6,5 in 40.38 s (vs Rollinson),5,5 in 41.88 s (vs Virastyuk),5,9 reps (vs Girard),5,2.0 laps (vs Lotta),3,2 bouts (vs Murumets),4,23.89 s (vs Felix),6,30.19 s (vs Minkwitz),6,2 in 7.56 s (vs Pudzianowski),0,35.79 s (vs Bergmanis),5
7,T. Lotta,FIN,46,3 in 21.74 s (vs Kirit),1,27.27 s (vs Rollinson),6,5 in 56.19 s (vs Samuelsson),5,4 in 53.05 s (vs Savickas),4,9 reps (vs Pudzianowski),4,2.5 laps (vs Karlsen),5,2.5 bouts (vs Bergmanis),5,28.9 m (vs Turner),1,27.12 s (vs Virastyuk),5,5 in 30.22 s (vs Felix),4,29.33 s (vs Minkwitz),6
8,A. Murumets,EST,40,N/A,2,N/A,2,N/A,4,3 in 38.02 s (vs Bergmanis),3,8 reps (vs Virastyuk),4,2.0 laps (vs Minkwitz),4,1 bout (vs Karlsen),2,18.34 s (vs Pudzianowski),6,28.86 s (vs Savickas),6,3 in 16.46 s (vs Turner),2,34.50 s (vs Rollinson),5
9,B. Turner,GBR,39,N/A,1,N/A,5,N/A,6,N/A,6,N/A,3,,0,2 bouts (vs Samuelsson),4,30 m (vs Lotta),3,50.17 s (vs Rollinson),6,2 in 13.69 s (vs Murumets),0,41.17 s (vs Virastyuk),5
10,M. Felix,GRN,37,6 in 36.39 s (vs Virastyuk),5,27.7 m (vs Bergmanis),3,5 in 37.84 s (vs Kirit),6,3 in 28.96 s (vs Rollinson),3,3 reps (vs Savickas),1,1.0 laps (vs Girard),2,1 bout (vs Minkwitz),2,39.17 s (vs Karlsen),5,34.32 s (vs Samuelsson),5,2 in 9.12 s (vs Lotta),0,47.24 s (vs Pudzianowski),5
11,A. Rollinson,ENG,34,3 in 19.61 s (vs Minkwitz),1,28.5 m (vs Lotta),4,5 in 37.69 s (vs Karlsen),6,4 in 49.73 s (vs Felix),5,6 reps (vs Samuelsson),3,1.5 laps (vs Pudzianowski),2,0 bouts (vs Savickas),0,27.5 m (vs Bergmanis),1,33.5 m (vs Turner),4,4 in 24.81 s (vs Virastyuk),2,34.49 s (vs Murumets),6
12,R. Minkwitz,DEN,31,5 in 56.55 s (vs Rollinson),4,27.5 m (vs Virastyuk),3,4 in 29.48 s (vs Pudzianowski),4,3 in 30.30 s (vs Girard),3,2 reps (vs Bergmanis),1,1.0 laps (vs Murumets),1,2 bouts (vs Felix),4,27 m (vs Samuelsson),1,31.83 s (vs Karlsen),5,2 in 8.47 s (vs Savickas),0,29.87 s (vs Lotta),5
13,H. Girard,CAN,0,3 in 17.20 s (vs Bergmanis),0,39.23 s (vs Pudzianowski),0,5 in 43.77 s (vs Savickas),0,5 in 51.99 s (vs Minkwitz),0,7 reps (vs Karlsen),0,0 laps (vs Felix),0,,0,,0,,0,,0,,0
14,S. Kirit,USA,0,3 in 16.80 s (vs Lotta),0,24.8 m (vs Samuelsson),0,4 in 32.61 s (vs Felix),0,,0,,0,,0,,0,,0,,0,,0,,0
