#,Competitor,Country,TOT. PTS,Max Log Lift,Pts,Weight Throw,Pts,Truck Pull,Pts,Wheelbarrow Carry,Pts,Fridge Carry,Pts,Bar Bend,Pts,Max Squat,Pts,Max Deadlift,Pts,Front Hold,Pts,Tug of War,Pts
1,B. Kazmaier,USA,102.5,,9.5,,9,,7,,10,,9,,10,,10,,10,,8,,20
2,L. Hedlund,SWE,74,,9.5,,6,,6,,8,,8,,8,,9,,7.5,,7,,5
3,G. Capes,GBR,69.5,,5.5,,8,,8,,9,,10,,9,,4,,3,,3,,10
4,B. Dolegiewicz,CAN,56,,5.5,,10,,4,,7,,7,,6,,6.5,,5,,5,,0
5,J. Hannan,USA,45.5,,7.5,,7,,1,,1,,2,,3,,6.5,,7.5,,10,(Eliminated),0
6,L. Kidney,USA,44.5,,3.5,,4,,5,,4,,3,,2,,8,,9,,6,(Eliminated),0
7,B. Graham,USA,37,,2,,3,,2,,3,,4,,5,,4,,5,,9,(Eliminated),0
8,G. du Prie,NED,35.5,,3.5,,1,,3,,5,,6,,4,,4,,5,,4,(Eliminated),0
9,C. Dean,USA,33,,1,,2,,10,,2,,5,,7,,2,,2,,2,(Eliminated),0
10,D. Reinhoudt,USA,27.5,,7.5,,5,,9,,6,(Withdrew),0,(Withdrew),0,(Withdrew),0,(Withdrew),0,(Withdrew),0,(Eliminated),0
