#,Competitor,Country,TOT. PTS,Deadlift,Pts,Power Stairs,Pts,Rock Press,Pts,Fingal's Fingers,Pts,Bus Pull,Pts,Car Walk,Pts,Atlas Stones,Pts
1,P. Pfister,USA,61,12 reps,6,38.60 s,5,4 in 83.27 s,10,5 in 31.92 s,10,16.9 m,10,26.88 s,10,5 in 25.72 s,10
2,M. Pudzianowski,POL,57.5,16 reps,9.5,26.33 s,10,2 in 16.17 s,9,5 in 53.86 s,5,16.78 m,9,27.40 s,9,4 in 17.76 s,6
3,D. Pope,USA,45,1 rep,1,34.72 s,8,2 in 22.31 s,8,5 in 34.17 s,9,11.6 m,6,47.99 s,6,5 in 68.80 s,7
4,M. Felix,GRN,38.5,16 reps,9.5,35.05 s,7,2 in 46.46 s,5,4 in 33.79 s,2,13.1 m,7,20.1 m,3,4 in 23.08 s,5
5,T. Mitt,EST,38,9 reps,4,34.19 s,9,2 in 50.13 s,4,5 in 46.15 s,6,11 m,4,12.9 m,2,5 in 27.56 s,9
6,S. Wenta,POL,36.5,8 reps,2.5,65.43 s,2,2 in 23.49 s,7,5 in 39.13 s,8,5.6 m,1,36.93 s,8,5 in 29.46 s,8
7,T. Hollands,ENG,30,12 reps,6,46.97 s,4,0 in 90.00 s,0,5 in 43.33 s,7,14.8 m,8,11.7 m,1,4 in 25.35 s,4
8,J. Dymek,POL,29,13 reps,8,38.27 s,6,0 in 90.00 s,0,4 in 29.54 s,3,11.25 m,5,22.9 m,5,2 in 12.78 s,2
9,R. Vidzis,LAT,26,12 reps,6,79.88 s,1,2 in 28.58 s,6,5 in 56.83 s,4,8.58 m,2,22.4 m,4,4 in 35.70 s,3
10,S. Toczek,POL,20.5,8 reps,2.5,47.95 s,3,1 in 16.02 s,3,3 in 31.71 s,1,9.6 m,3,47.88 s,7,2 in 19.42 s,1
